AccX[mg]	AccY[mg]	AccZ[mg]	GyrX[dps]	GyrY[dps]	GyrZ[dps]	
144.66150275	44.896001	1043.664276	-25.76765575	-27.75281225	-29.045624749999998
143.48725124999999	43.8742515	1042.2765195000002	-25.77640575	-27.744062250000002	-29.05765625
142.3587495	46.2075015	1043.6490172500003	-25.7293745	-27.792187	-29.03359375
141.59624874999997	48.17475125	1044.7012635	-25.72390625	-27.788906	-29.020469000000002
142.86199975	47.15300075	1046.97351075	-25.730469	-27.794375	-29.07296925
143.42625075	46.05500025	1049.13900775	-25.738125500000002	-27.77468725	-29.11890625
142.84675224999998	43.79800025	1047.3395082499999	-25.820156750000002	-27.71234375	-29.14406275
143.80750275	45.14000025	1046.714264	-25.791719000000004	-27.74078075	-29.14734425
144.34125125	49.1812505	1046.5922852499998	-25.703125	-27.73968675	-29.10578175
142.31300325	49.791251	1046.0280457499998	-25.63421875	-27.7473435	-29.10140675
142.17575050000002	49.715001	1046.05853275	-25.572969	-27.784531	-29.1287505
141.52000025	48.144250750000005	1045.4790345000001	-25.52921875	-27.73312525	-29.132031499999997
141.26074975	48.007001	1045.6467592499998	-25.6560935	-27.6817195	-29.146250249999998
142.404499	48.43400025	1045.0977480000001	-25.71296825	-27.668594	-29.139688
144.11249925	50.09624975	1045.509491	-25.74578025	-27.643437499999997	-29.126563
145.2562485	49.13550025000001	1047.0649720000001	-25.7195305	-27.679530999999997	-29.127657
144.96649925	46.665000250000006	1047.75122075	-25.667030750000002	-27.73968675	-29.13421925
143.97525025	46.3447505	1047.415741	-25.694374500000002	-27.73203075	-29.1287505
142.84675225	45.33825025	1047.3852539999998	-25.737030999999998	-27.74406225	-29.15171925
141.76400375	46.72599975	1047.50726325	-25.7731245	-27.74515625	-29.16375025
142.20625325	47.16825	1046.6837770000002	-25.78515575	-27.6839065	-29.165938
143.68550125	47.137749750000005	1047.29376225	-25.76437475	-27.716719	-29.161563
144.4937515	47.2597505	1046.790497	-25.686718499999998	-27.751719	-29.1396875
144.15825275	47.38175124999999	1046.546509	-25.708594	-27.773594	-29.106875
142.770504	48.510251249999996	1046.97351075	-25.791719	-27.83484375	-29.0718745
143.02975475	48.90675175	1047.553009	-25.805937750000002	-27.81296875	-29.04890575
140.6050035	46.848001499999995	1047.21752925	-25.83984425	-27.793280999999997	-29.035781
141.23025149999998	46.161750749999996	1047.75128175	-25.83546875	-27.74734325	-29.044531
141.26074999999997	45.70425025	1048.39178475	-25.77640625	-27.7079685	-29.06312475
141.41325	47.00049975	1048.6358034999998	-25.62984375	-27.704687	-29.0784375
142.49600225	48.4644995	1049.18478425	-25.5685935	-27.670781	-29.08390625
143.35000225	47.86975025	1048.4070132499999	-25.58718725	-27.683906	-29.077344
143.47200375	48.0985005	1048.3460085	-25.5762495	-27.67406225	-29.0456255
143.35000225	46.588751	1048.3764955	-25.6593745	-27.651094	-29.029218750000002
145.28675075	46.31425125	1048.74249275	-25.722812000000005	-27.622656499999998	-29.031406500000003
142.907753	44.865500749999995	1048.6814880000002	-25.6353125	-27.642344249999997	-29.03249975
141.68775175000002	44.71300049999999	1048.6204834999999	-25.6145315	-27.656563	-29.047812250000003
140.40675349999998	46.22275	1049.30673225	-25.69765675	-27.67953125	-29.089375000000004
139.67475124999999	47.19874975	1048.95599375	-25.653906749999997	-27.7189065	-29.09921825
141.88600150000002	48.3882495	1048.95599375	-25.75453175	-27.69593775	-29.1025
143.25850300000002	47.991749999999996	1048.1325075	-25.867188	-27.70359375	-29.087187500000002
143.91425325	46.238	1047.33950825	-25.838750249999997	-27.7189065	-29.0620315
143.7922555	46.2837505	1048.6815187500001	-25.904374999999998	-27.74625025	-29.02593775
144.08200475	47.671501	1047.99527	-25.828906	-27.752812499999997	-29.03031275
143.94475575	46.81750075	1049.77951075	-25.681250000000002	-27.78125025	-29.068593999999997
142.343506	45.6585015	1048.1325075	-25.6659375	-27.830468749999998	-29.07625
