A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-185.867004	36.478001	1087.630005	1.548750	-0.358750	-1.085000
-187.026001	36.355999	1079.151001	1.981875	-0.634375	-3.307500
-153.415009	16.348000	1054.385010	2.572500	-1.741250	-4.375000
-132.675003	-13.420000	1001.559021	6.251875	-2.463125	-5.963125
-155.244995	-6.161000	959.591003	5.551875	-1.553125	-5.936875
-83.326004	-46.542999	920.307007	1.316875	-4.480000	-4.764375
35.196999	-226.371002	810.934021	6.059375	-7.643125	-10.600625
-9.150001	-243.755997	815.630981	3.386250	-7.131250	-3.600625
78.568001	-342.270996	770.796021	-1.461250	-3.985625	0.061250
-55.205002	-216.306000	896.578003	4.891250	-3.014375	-3.911250
-4.697000	-251.442001	976.000000	-3.753750	-17.115000	-4.475625
57.706001	-78.263000	1045.113037	5.433750	-29.478750	7.367500
-32.879002	-142.617996	1195.599976	-1.430625	-28.490000	4.366250
156.098999	-111.996002	1094.889038	7.227500	-19.048750	24.718750
-71.918999	106.017998	1122.277954	9.533125	-12.096875	31.001249
-57.827999	72.956001	1208.104980	19.420626	-10.377500	21.192499
-62.952000	304.511993	1019.432007	32.532501	-8.553125	49.017502
-129.442001	436.576996	1131.489014	38.766876	-19.950001	55.816250
-121.451004	482.753998	1130.573975	38.766876	-33.438126	46.816875
-161.955002	549.549011	1244.948975	31.456249	-33.438126	46.816875
-161.955002	549.549011	1265.688965	21.752501	-15.505000	32.348751
-123.647003	572.851013	1265.688965	27.925625	-0.341250	16.450001
-219.966003	502.213013	1288.747070	26.250000	-0.756875	11.886875
-149.999008	596.091980	1331.385986	13.405000	-18.908751	9.485000
-69.784004	456.158020	1355.847046	24.443125	-26.022499	8.098125
-51.545002	506.483002	1317.295044	27.676250	-26.166876	3.215625
48.739002	399.550018	1202.493042	18.650625	-13.912500	8.045625
79.543999	357.643005	1192.733032	12.005000	-0.888125	2.196250
91.987999	319.945007	1133.562988	9.975000	1.295000	-8.146250
73.688004	321.470001	1137.344971	6.251875	1.876875	-8.680000
62.281002	337.330017	1132.037964	6.151250	1.732500	-9.126250
46.482002	323.300018	1116.787964	0.345625	-0.988750	-7.966875
51.300999	340.257996	1114.592041	-2.607500	-0.984375	-6.396250
68.320000	319.761993	1103.185059	-2.782500	-0.717500	-8.032500
57.157001	327.509003	1077.687012	-5.530000	2.073750	-7.945000
53.313999	309.269989	1070.367065	-7.091875	3.950625	-8.356250
38.917999	274.256012	1073.905029	-3.395000	8.561875	-9.288125
-4.819000	292.739014	1076.100952	-1.811250	6.619375	-10.360000
-178.852005	102.601997	1066.097046	0.271250	0.144375	-8.001875
-150.792007	106.567001	1061.765991	-2.148125	-4.033750	-6.492500
-140.604996	101.870003	1020.713013	-6.203750	1.553125	-5.757500
-127.368004	77.775002	1041.087036	-6.549375	-4.204375	-4.243750
-175.557999	79.910004	1069.086060	-7.923125	-2.883125	-2.738750
-121.695000	101.687004	1056.337036	-4.851875	1.868125	-0.529375
-62.341999	-12.993000	958.066040	-0.196875	2.436875	-6.960625
-5.002000	-179.766998	789.828003	7.288750	3.723125	-8.964375
40.260002	-175.375000	726.265991	1.540000	4.130000	-5.897500
118.340004	-202.581009	660.142029	16.240000	-3.657500	-12.788125
-89.974998	-170.434006	890.356018	20.855625	-12.381250	1.028125
-55.815002	-130.723007	925.187012	23.375626	-4.663750	15.150625
-176.473007	-82.594002	1101.477051	30.117500	-2.839375	20.580000
-64.965004	-37.088001	1042.428955	15.137500	-21.035000	15.185625
-50.142002	171.471008	1186.389038	11.243750	-18.134375	25.147499
-67.832001	161.223007	1158.328979	10.508750	-22.548750	17.421249
23.546000	392.596008	1200.968018	29.369375	-17.254999	30.458750
68.807999	449.936005	1123.619995	44.926876	-25.357500	43.347500
-35.929001	684.603027	1216.462036	39.248123	-13.422500	45.338123
-178.242004	763.109985	1295.518066	39.331249	1.885625	54.928123
-147.253998	732.366028	1301.435059	21.135626	3.723125	37.200626
-226.798004	757.681030	1301.984009	-1.063125	-1.181250	39.068748
-67.039001	625.677002	1275.692993	-0.656250	-28.818125	33.648125
-2.867000	540.520996	1158.451050	6.698125	-25.226250	13.921250
-51.605999	485.498993	1122.338989	-0.726250	4.790625	0.586250
-60.084999	459.757019	1132.648071	-5.530000	5.215000	-6.186250
-56.547001	457.256012	1166.015015	-10.561250	-11.974375	-4.781875
52.338001	405.101013	1103.489990	-7.560000	-12.897500	1.728125
-5.673000	363.621002	1128.317017	-0.170625	-3.801875	-0.280000
38.552002	363.438019	1095.193970	1.360625	-0.914375	-4.978750
35.990002	325.069000	1070.244995	-2.043125	2.786875	-4.440625
32.818001	342.209991	1066.157959	-2.861250	3.745000	-6.899375
27.328001	292.067993	1059.386963	-3.710000	4.528125	-6.921250
25.864000	311.649017	1068.049072	-3.976875	4.370625	-5.092500
0.427000	311.466003	1066.645996	-1.540000	2.585625	-1.474375
33.184002	311.343994	1077.625977	-0.271250	-1.316875	0.796250
-7.625000	307.440002	1068.536987	1.413125	1.697500	1.168125
6.222000	329.095001	1077.687012	0.770000	2.016875	-0.962500
-299.449005	71.125999	1022.726013	1.238125	-5.381250	-1.023750
-262.360992	54.411999	984.601013	3.202500	-3.810625	-2.073750
-274.438995	68.564003	986.796997	0.656250	-4.869375	-3.237500
-259.738007	37.209999	972.462036	0.039375	-6.501250	-0.170625
-229.604004	34.647999	963.983032	-2.502500	-4.506250	1.828750
-184.098007	-66.306999	928.664001	-2.296875	-3.526250	4.856250
-192.210999	-68.197998	927.932007	5.337500	-6.326250	4.081875
-132.248001	-130.906006	894.015991	13.448750	-6.020000	11.886875
-212.402008	-27.938000	955.626038	17.753750	-5.381250	12.582500
-170.556000	-60.756001	908.900024	18.073126	-5.661250	13.794375
-264.496002	65.514000	999.546021	10.832500	-12.862500	17.836876
-200.934006	7.747000	942.999023	8.907500	-19.236876	18.860624
-268.460999	127.001999	1091.594971	-1.522500	-29.758751	28.455000
-227.285995	127.978004	1068.049072	-2.515625	-35.984375	16.935625
-111.691002	101.320999	1012.051025	-3.508750	-35.660625	35.376251
-203.862000	232.348999	1183.644043	-6.549375	-40.543125	15.093750
-66.489998	160.735001	1090.192017	-5.595625	-45.071251	16.598749
-26.291000	317.444000	1187.364990	5.005000	-42.004375	17.915625
-53.497002	282.429993	1176.873047	24.373125	-35.450626	12.101250
-15.067000	315.492004	1147.410034	15.163750	-29.325624	22.395624
-2.684000	282.795990	1186.266968	-2.340625	-9.266250	29.596874
-30.073000	351.299011	1170.468018	0.319375	12.582500	20.103125
-19.825001	460.916016	1263.797974	5.595625	2.078125	15.163750
-75.334999	453.535004	1302.166992	13.908125	-16.458750	18.847500
-17.323999	511.912018	1341.451050	17.075624	-13.011250	13.772500
-17.323999	529.358032	1307.229980	14.634375	-2.629375	19.757500
-1.952000	458.781006	1243.180054	7.555625	7.183750	19.175625
-69.479004	441.884003	1199.808960	7.389375	13.553750	9.935625
-79.726997	387.899017	1149.484009	6.663125	18.007500	6.002500
-84.545998	394.487000	1100.440063	3.241875	27.221251	0.818125
-125.598999	316.223999	1071.770020	-3.692500	15.767500	-5.376875
-70.577003	282.674011	1023.458008	-3.482500	8.015000	-6.842500
-97.539001	301.035004	1019.066040	0.144375	6.724375	-8.211875
-85.034004	282.308014	1016.626038	4.121250	1.946875	-5.919375
-62.281002	295.850006	1034.743042	3.001250	-3.018750	-4.825625
-77.225998	295.972015	1049.687988	2.253125	-2.038750	-4.449375
-51.423000	306.220001	1051.822998	2.856875	-3.745000	-3.211250
-39.894001	313.722992	1038.708008	5.831875	-3.132500	-3.998750
-143.289001	19.580999	1086.166016	-1.640625	2.432500	-4.423125
-188.001999	19.520000	1106.357056	-2.467500	6.475000	-2.275000
-171.654007	10.553000	1069.269043	-3.259375	8.793750	-0.083125
-195.261002	-15.189000	1041.331055	-4.239375	7.126875	-2.808750
-215.695999	-6.893000	1064.023071	-1.137500	0.625625	-5.495000
-157.867996	-10.248000	1029.313965	5.455625	-1.833125	-1.890000
-115.778000	-102.846001	969.290039	9.349375	-3.981250	-2.756250
-50.325001	-170.617004	861.686035	12.919375	-9.174375	1.115625
-44.834999	-233.507996	745.481018	14.306250	-2.445625	1.999375
-79.788002	-256.871002	764.390991	18.900000	-5.254375	2.559375
-117.425003	-203.679001	779.702026	14.319375	-9.506875	8.137500
-118.096001	-165.615005	836.676025	20.855625	-13.247500	18.987499
-138.775009	-99.979004	905.666992	15.868125	-27.571251	16.900625
-51.545002	-128.039001	938.790039	16.393126	-32.418751	25.742500
-160.673996	54.167999	1057.739990	8.316875	-37.931252	16.257500
-11.285000	-35.075001	1070.062012	-1.395625	-49.087502	24.985624
78.933998	230.091995	1159.732056	13.763750	-54.893124	34.098751
93.452003	175.863007	1314.306030	10.443125	-58.664375	25.204374
243.634003	293.226990	1247.816040	19.341875	-33.564999	45.430000
68.442001	311.161011	1364.753052	15.505000	-11.191250	41.072498
109.922005	324.398010	1355.114990	2.406250	-24.609375	28.380625
162.199005	417.727997	1375.123047	-2.821875	-21.800625	32.773125
141.886002	359.106995	1407.391968	-6.798750	-30.025625	26.162500
225.029007	440.602997	1421.666016	-9.843750	-40.683125	11.847500
201.971008	401.563019	1334.863037	-3.850000	-23.275000	18.340000
139.568008	391.681000	1246.291016	17.692499	14.665000	15.518125
80.153999	344.406006	1144.421021	19.893126	32.729374	3.758125
16.714001	314.149994	1131.489014	15.325625	36.837502	0.835625
8.967000	298.899994	1099.219971	7.923125	20.138124	-1.028125
38.307999	241.742996	1111.176025	-0.713125	-2.979375	2.870000
80.520004	206.302002	1101.110962	-1.395625	-12.643750	0.411250
135.968994	186.904007	1135.759033	-3.176250	-12.582500	-2.786875
164.212006	206.729004	1146.921997	-2.887500	-7.538125	-1.876875
151.585007	165.126999	1141.920044	-2.323125	1.111250	-3.180625
154.634995	178.119995	1130.269043	-2.388750	6.470625	-6.965000
84.973000	160.186005	1122.338989	-4.843125	5.368125	-5.363750
118.889000	163.053009	1105.563965	-3.198125	6.873125	-6.190625
74.542000	159.576004	1111.359009	-2.931250	6.251875	-5.083750
-237.167999	45.872002	1074.636963	3.548125	0.148750	-1.518125
-202.703003	53.985001	1068.536987	0.879375	-2.257500	-1.942500
-187.514008	45.811001	1040.050049	2.327500	-1.111250	-1.369375
-203.251999	15.738000	1037.365967	1.785000	-2.795625	-2.528750
-198.677002	24.461000	1026.935059	-0.923125	-3.036250	-3.600625
-165.798004	-37.576000	974.963013	-1.448125	-2.003750	-5.718125
-107.970001	-144.570007	927.200012	-2.870000	-2.371250	-8.080625
-68.259003	-200.141006	847.411987	-5.123125	2.935625	-6.195000
-91.317001	-181.475006	884.317017	6.361250	2.436875	-4.081875
-166.102997	-226.798004	871.872986	1.203125	-0.275625	-2.528750
