A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-270.108002	45.932999	993.140991	0.910000	0.581875	-6.273750
-197.518005	123.342003	868.152039	5.228125	6.790000	0.350000
-189.283005	233.020004	741.515991	22.850624	10.285625	3.815000
-171.897995	254.553009	691.007996	16.664375	3.648750	3.250625
-308.964996	365.084991	614.635986	12.000625	15.610000	5.079375
-348.614990	275.903015	693.936035	-4.694375	7.551250	-0.472500
-274.865997	250.527008	804.895020	0.818125	-17.583124	-3.390625
-275.354004	344.528015	862.661987	11.016250	-39.624374	-18.956875
-66.429001	188.856003	904.385986	11.016250	-40.293751	-29.942499
-9.943000	272.243011	1065.487061	9.310000	-40.293751	-29.942499
-9.943000	272.243011	1055.483032	6.273750	-35.306252	-32.545624
-46.786999	73.871002	1055.483032	12.538750	-43.557499	-40.044376
13.298000	-4.026000	1160.098022	18.396875	-49.358749	-76.982498
62.037003	86.620003	1171.078003	-5.000625	-65.791252	-81.676872
100.223000	-19.337000	1177.604980	5.495000	-75.210625	-72.480621
165.005005	-171.227005	1229.454956	45.941875	-38.071251	-62.930000
113.826004	-41.541000	1607.411011	47.818748	-45.714375	-43.579376
86.558998	-183.731995	1317.661011	25.506250	-37.082500	-50.395626
58.987000	-109.068001	1396.534058	12.411875	-35.253750	-44.345001
78.507004	-36.600002	1400.620972	-27.234375	-36.146252	-42.826874
85.460999	-146.033997	1136.063965	-36.041248	-19.989374	-49.459373
56.486000	-234.910995	1265.932983	-27.908125	-20.133751	-34.772499
70.882004	-242.597000	1262.700073	4.860625	-36.224998	-33.333126
83.082001	-87.108002	1213.534058	36.942501	-69.614998	-29.636250
274.317017	81.984001	1324.310059	37.091251	-59.574375	-7.831250
212.645996	94.306000	1306.619995	19.442499	-39.353127	20.129375
305.365997	-113.521004	1319.307983	16.065001	-16.546249	30.611876
176.656006	-30.805000	1282.159058	16.108749	12.026875	21.805000
94.550003	-27.632999	1222.256958	6.807500	13.833750	11.431875
111.020004	19.886000	1120.875000	-0.525000	-8.846250	-0.752500
216.794006	20.007999	1136.796021	-9.016875	-25.375000	-6.208125
201.788010	-10.614000	1096.841064	-16.047501	-16.856874	-5.516875
169.091995	7.076000	1145.763062	-14.883750	-7.861875	-7.730625
-204.899002	144.447998	1102.941040	6.601875	-3.250625	-2.948750
-194.223999	136.945007	1106.479004	3.797500	-2.432500	-1.697500
-176.778000	139.994995	1098.305054	0.875000	-2.380000	-0.612500
-180.804001	109.556000	1102.331055	-2.415000	-3.745000	0.616875
-171.714996	111.020004	1096.841064	-2.012500	-4.558750	2.826250
-185.074005	106.750000	1103.551025	-0.297500	-0.739375	1.168125
-144.387009	172.813004	1060.607056	0.297500	2.213750	-4.410000
-69.905998	322.446014	979.171997	-0.284375	1.684375	-6.168750
-22.814001	403.636993	823.012024	-5.092500	8.631875	-12.442500
-61.305000	376.553009	732.182983	-1.618750	24.613750	-11.738125
-94.793999	397.415009	696.619995	1.951250	22.990625	-16.353750
-96.136002	414.678009	617.807983	1.553125	29.014999	-18.357500
-209.352005	319.395996	660.385986	-12.810000	32.768749	-13.969375
-234.910995	206.667999	742.187012	1.098125	20.299999	-12.285000
-141.397995	210.632996	831.552002	9.034375	-28.315001	-17.128124
-35.501999	203.313004	1012.843994	37.957500	-70.284378	-33.184376
-47.519001	180.376999	987.041016	28.485624	-59.329376	-34.085625
25.986000	-12.993000	1076.161987	1.382500	-23.664375	-62.208126
-137.798996	207.460999	1212.192017	-11.068750	-26.320000	-88.401253
-31.354000	-33.977001	1166.807983	-21.030624	-71.036873	-95.042503
183.244003	107.787003	1214.510010	1.850625	-96.389999	-66.972504
107.482002	-231.678009	1324.187988	31.775625	-95.523750	-48.343750
197.152008	-96.989998	1334.130981	22.898750	-62.418125	-42.026249
255.468002	47.153000	1484.495972	3.062500	-56.813751	-15.929375
195.199997	-218.990005	1312.719971	8.723750	-27.457500	-16.944374
191.662003	59.414001	1616.805054	8.933750	-42.730625	-17.626875
453.108002	-66.001999	1328.031006	-14.406875	-61.866875	-5.569375
179.035004	-174.947998	1411.234985	17.626875	-7.100625	-9.288125
108.153000	-90.219002	1359.263062	20.282499	1.518125	-13.597500
122.732002	-63.074001	1359.567993	12.530000	3.946250	-17.263750
84.119003	-11.163000	1304.973022	-2.078125	-14.345625	-16.161249
296.825989	-24.095001	1154.791016	-4.366250	-26.241249	-1.491875
210.511002	-3.843000	1174.432983	-4.996250	-6.763750	-1.623125
192.150009	26.962000	1142.286011	-7.319375	-3.045000	-1.343125
219.722000	88.694000	1158.390015	-7.621250	-12.460000	1.400000
197.945007	45.932999	1170.223999	-5.674375	-11.904375	4.326875
212.889999	82.411003	1174.067017	-0.376250	-7.805000	4.786250
253.699005	80.031998	1167.967041	2.576875	-7.765625	6.868750
-160.856995	195.322006	1113.555054	0.428750	2.034375	6.636875
-199.165009	200.628998	1107.577026	-2.848125	10.469375	0.651875
-172.264008	169.824005	1062.375977	-3.644375	9.515625	-2.305625
-253.516006	161.223007	1056.458984	0.901250	11.843125	-8.999375
-262.239014	203.374008	1036.511963	2.301250	6.899375	-6.352500
-243.329010	224.541000	1024.617065	1.413125	0.363125	-3.469375
-211.669998	270.230011	978.317993	1.273125	-1.229375	1.658125
-171.227005	356.545013	904.691040	0.577500	-2.992500	6.361250
-147.681000	409.127014	823.377991	0.218750	2.918125	1.789375
-133.223999	494.649017	738.893005	3.141250	8.841875	-4.668125
-222.100998	484.645020	715.225037	8.671250	6.304375	-8.268750
-204.960007	478.911011	635.254028	22.806875	12.709375	-14.074375
-214.292999	423.889008	732.793030	18.344376	6.930000	-6.251875
-199.958008	415.105011	698.572021	12.206250	4.773125	-3.036250
-142.251999	337.451996	760.182007	-11.186875	2.782500	2.931250
-63.806000	198.860001	968.497009	-13.610625	7.923125	-14.236250
-20.984001	358.009003	912.132996	12.823125	11.178125	-40.656876
-33.244999	170.678009	892.429993	9.620625	-50.723751	-48.584373
86.253998	306.342010	1083.299072	-0.245000	-92.671249	-60.230625
342.149017	327.386993	1115.446045	-23.401875	-105.879372	-65.493752
184.585999	-65.941002	1192.794067	-40.866875	-98.984375	-81.571877
234.301010	110.593002	1309.609009	-21.468124	-102.287498	-77.892502
120.963005	-62.341999	1320.894043	-12.188750	-111.488129	-56.349998
182.145996	-216.671997	1508.774048	-3.128125	-67.860626	-37.992500
208.742004	-6.771000	1405.867065	10.171875	-34.111874	-52.744999
120.474998	-138.287003	1483.641968	-5.101250	-32.606876	-60.878124
119.438004	-68.014999	1368.046997	18.659374	-30.673124	-37.664375
263.825012	22.691999	1252.269043	-9.909375	-22.566250	-23.183125
281.454010	-19.459000	1149.545044	-30.104376	-16.476250	-17.233126
253.089005	-1.647000	1209.020020	-30.988125	-24.766874	3.797500
387.959991	-137.921005	1370.487061	-0.096250	-30.091249	9.852500
255.285004	-62.708000	1296.432983	17.040625	-20.488125	4.208750
279.441010	-55.815002	1269.348999	20.510000	-22.439375	12.057500
96.806999	43.371002	1269.531982	11.536875	-30.253124	10.574375
221.917999	48.739002	1267.702026	-9.961875	-38.609375	11.488750
255.895004	-19.093000	1187.670044	4.213125	-13.138125	7.647500
212.341003	4.209000	1220.976074	12.219375	8.435000	1.890000
235.277008	-16.348000	1158.390015	9.183125	7.083125	-3.880625
-295.239990	206.912003	1037.671021	-1.470000	-0.923125	3.823750
-305.061005	169.275009	1061.948975	-0.179375	-0.564375	5.761875
-269.192993	225.029007	1053.652954	-0.179375	-0.564375	0.153125
-297.131012	185.013000	1060.484985	-4.169375	-1.666875	0.153125
-297.131012	185.013000	1060.484985	-1.894375	2.003750	-1.071875
-267.667999	205.264999	1057.739990	-3.780000	-1.938125	-2.248750
-295.789001	185.318008	1052.615967	-4.633125	-0.083125	-2.388750
-276.635010	208.193008	1014.247009	-4.803750	0.459375	-1.881250
-240.645004	289.933014	952.697998	-3.526250	0.126875	-4.116875
-238.205002	400.037994	823.255981	1.618750	1.207500	-3.766875
-172.691010	440.359009	711.260010	12.810000	5.573750	-6.908125
-171.044006	449.875000	664.656006	6.671875	7.376250	-4.729375
-182.817001	490.257019	589.260010	-2.025625	9.301250	-4.676875
-101.808998	467.808990	503.433014	-3.845625	9.795625	-3.023125
-200.994995	367.403015	646.539001	-20.545000	9.716875	-8.386875
-182.695007	367.830017	789.523010	-14.910000	-0.411250	-5.468750
-70.698997	221.369003	870.408997	-8.211875	-26.775000	-1.190000
