A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-2.928000	-13.237000	1156.560059	2.485000	-4.283125	5.407500
-80.641998	-32.939999	1205.604004	4.895625	2.957500	11.445000
-65.026001	-12.505000	1214.083008	6.195000	5.521250	10.561250
-55.265999	-18.117001	1222.500977	9.296875	6.151250	12.626250
-95.343002	-78.445999	1314.183960	7.350000	9.738750	17.815001
-69.967003	-116.937004	1471.197998	8.732500	9.979375	20.671875
-116.388000	-286.700012	1652.489990	18.173750	7.153125	23.598749
-18.605000	-162.992004	1597.285034	15.881250	26.254375	25.475624
-7.442000	-146.888000	1447.713013	27.676250	30.305626	6.693750
-73.931999	-23.180000	1319.063965	19.600000	20.173124	4.528125
-59.902000	89.364998	1106.234985	13.759375	23.296875	13.995625
-70.577003	131.272003	1068.536987	21.988750	49.013126	42.070000
-40.992001	136.212997	972.462036	7.253750	66.408127	48.851250
-133.589996	184.891006	907.802002	-9.852500	65.301247	55.470627
-160.613007	230.335999	885.536987	-24.946251	46.746876	42.415627
-134.626999	222.345001	838.750000	-37.695000	30.778126	43.855000
-192.943008	401.441010	847.106995	-53.204376	12.306875	28.739374
-227.285995	464.332001	807.091003	-48.356876	9.428125	7.914375
-183.854004	457.927002	812.215027	-39.042500	16.082500	0.966875
-257.847015	388.631012	874.496033	-34.006874	18.410000	16.261875
-216.306000	302.132996	894.320984	-33.219376	10.714375	28.721874
-301.401001	207.888000	949.587036	-26.149376	13.593125	21.336876
-293.714996	161.040009	904.264038	-20.973749	13.422500	10.001250
-324.886017	94.306000	949.526001	-15.894375	4.305000	0.765625
-317.871002	101.320999	971.059021	-7.590625	0.857500	-7.385000
-333.914001	45.079002	1013.332031	-3.644375	-1.246875	-12.123125
-349.652008	33.000999	1035.353027	-1.732500	1.185625	-6.951875
-349.164001	7.015000	1034.193970	1.566250	1.260000	-5.560625
-349.164001	-17.507000	1057.557007	7.498750	-0.511875	0.463750
-328.119019	-17.568001	1070.916016	8.745625	-1.680000	-2.327500
-344.528015	-14.335000	1072.989990	10.403750	0.411250	-4.908750
-346.235992	-2.440000	1084.336060	6.142500	0.402500	-5.840625
-334.524017	25.498001	1071.708984	2.393125	2.870000	-6.050625
-363.804016	9.638000	1054.567993	-0.756875	7.476875	-3.486875
-341.539001	0.549000	1011.807007	-2.218125	7.870625	-0.017500
-379.725006	-9.455000	1017.906982	-2.970625	6.965000	1.115625
-366.244019	-22.021000	951.234009	-4.974375	5.455625	0.494375
-352.946014	-77.530998	915.366028	-0.288750	-0.262500	-1.811250
-42.700001	151.097000	1143.505981	-1.723750	-0.800625	0.249375
-61.732002	147.376007	1117.825073	-3.657500	2.651250	-1.518125
-52.887001	135.847000	1135.332031	-3.653125	3.294375	-2.213750
-126.331001	91.622002	1225.855957	-0.643125	-0.109375	0.647500
-101.077003	98.271004	1255.380005	4.672500	-1.225000	-0.183750
-108.519005	9.577000	1401.353027	6.230000	8.933750	0.026250
-168.055008	-100.772003	1550.558960	-2.301250	12.810000	-3.906875
-164.639008	-143.533005	1635.958984	18.847500	8.680000	-12.088125
-230.091995	-119.376999	1562.149048	19.875626	6.636875	-10.758125
-203.130005	-95.098999	1523.109009	14.735000	28.923124	16.708124
-112.849998	-65.026001	1408.062988	5.031250	65.703751	39.711876
-210.816010	-47.519001	1362.739990	9.095625	70.030624	58.883125
-99.735001	75.152000	1259.467041	28.520624	40.534374	54.215000
-131.393997	166.774002	1173.701050	21.800625	25.991875	31.058125
-124.378998	332.571991	978.867004	-1.378125	41.090000	8.671250
-65.391998	426.024017	842.715027	-21.275625	34.930000	6.943125
-78.933998	404.125000	790.255005	-18.086250	32.816875	23.940001
52.399002	452.253998	661.606018	-15.461250	36.487499	20.453125
6.100000	407.235992	660.630005	-15.408750	26.958750	23.786875
-147.619995	443.287018	701.439026	-15.408750	18.375000	25.287500
-241.559998	343.735016	682.101990	-16.108749	27.645624	12.718125
-378.382996	334.829010	704.122986	-15.964375	10.115000	20.728750
-353.128998	267.240997	749.324036	-9.905000	0.385000	12.411875
-356.606018	323.544006	836.249023	-11.593750	-7.013125	9.401875
-298.290009	254.796997	886.025024	-12.009375	-0.227500	0.520625
-316.589996	222.893997	1054.079956	-19.429375	1.058750	3.443125
-232.593002	223.382004	1076.100952	-8.548750	1.964375	7.875000
-349.713013	296.947998	942.999023	-1.789375	6.619375	-9.966250
-396.500000	193.065002	960.689026	-23.445625	9.428125	-4.195625
-488.000000	170.738998	1081.041992	-27.693750	20.951876	6.816250
-385.946991	135.298004	990.395996	-2.721250	-8.435000	3.587500
-390.033997	113.277000	1062.071045	16.874374	-35.266876	1.916250
-279.502014	153.171005	1042.489990	13.247500	-15.618750	-6.409375
-311.954010	165.798004	1039.562012	5.941250	-1.977500	-6.269375
-295.850006	140.483002	1031.327026	2.760625	-1.089375	-5.245625
-352.397003	155.550003	1034.376953	-0.752500	3.176250	-4.418750
-354.898010	120.169998	1016.992004	-1.246875	5.341875	-1.964375
-380.091003	132.369995	1034.803955	-1.015000	0.039375	-1.951250
-103.944000	127.856003	1110.687988	4.733750	0.713125	0.490000
-91.987999	99.307999	1117.947021	2.651250	1.531250	-0.428750
-95.648003	119.621002	1108.431030	0.879375	-1.636250	-1.216250
-95.160004	72.711998	1111.847046	2.051875	-3.727500	-0.284375
-106.811005	133.956009	1091.777954	1.990625	-0.721875	-0.826875
-82.532997	38.063999	1145.152954	0.844375	0.441875	3.718750
-124.867004	-16.531000	1300.764038	4.256875	-2.463125	5.508125
-168.970001	-236.070007	1530.489990	13.693750	-6.151250	10.390625
-109.068001	-217.831009	1698.728027	5.543125	4.003125	22.395624
-68.014999	-233.386002	1618.086060	11.095000	21.188126	22.220625
-69.905998	-84.607002	1562.393066	20.313126	34.886250	20.396250
-97.904999	-5.978000	1353.285034	18.094999	38.425625	21.765625
-112.606003	18.239000	1286.489990	13.055000	37.117500	30.200624
-95.648003	110.531998	1167.723022	-1.058750	41.068127	24.145624
-168.177002	251.197998	1090.924072	-11.449375	46.987499	24.193750
-123.830002	219.722000	989.603027	-24.990000	30.117500	29.330000
-135.237000	340.989990	877.911987	-40.494999	33.814377	31.430000
-166.895996	303.963013	865.406982	-41.689377	40.477501	45.565624
-83.631004	340.196991	794.281006	-39.278751	24.828125	51.935623
-148.473999	363.377014	770.247009	-31.570000	23.861250	25.068750
