A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
151.402008	220.637009	1092.631958	0.555625	1.929375	-2.441250
160.613007	239.913010	1097.572998	0.131250	-2.030000	-3.828125
151.097000	249.856003	1093.119995	-0.533750	-3.696875	-4.068750
151.768005	263.398010	1140.333984	-0.936250	-2.511250	-4.620000
163.602005	277.428009	1096.597046	-0.826875	1.019375	-6.313125
124.988998	286.882996	1111.053955	-2.695000	7.616875	-8.207500
45.628002	405.467010	1296.615967	-5.258750	-0.157500	-7.402500
58.560001	554.307007	1412.942993	-18.698750	-15.500625	-9.966250
95.709000	585.356018	1551.473999	-36.579376	-24.141251	-18.532499
199.835999	634.949036	1546.593994	-33.101250	-29.553125	-13.111875
246.928009	572.668030	1530.855957	-28.227501	-9.865625	-24.863125
215.451996	541.557983	1468.026001	-23.953125	-0.621250	-49.052502
363.132996	450.058014	1361.947021	-12.516875	27.470625	-56.258125
333.059998	227.774002	1153.815063	-0.315000	56.314999	-58.559376
224.113998	160.735001	1104.588013	9.843750	50.286251	-47.858124
165.371002	137.921005	1038.463989	20.658751	48.908127	-47.271873
160.673996	50.691002	985.942993	37.904999	58.296875	-55.286877
188.367996	264.373993	967.704041	35.883751	63.669376	-53.847500
168.238007	97.051003	1023.640991	10.631250	41.518749	-33.079376
193.431000	-18.605000	833.747986	-6.960625	18.375000	-22.474375
-18.239000	-2.928000	683.139038	-17.408125	2.773750	-17.548124
-47.214001	-66.489998	748.653015	-27.921249	-1.308125	-6.098750
-53.618999	-148.718002	726.205017	-30.559376	7.888125	0.249375
-41.358002	-71.492004	746.578979	-11.681250	25.558750	-19.844999
-95.098999	-117.120003	800.259033	6.291250	12.018125	-15.701875
-218.380005	48.373001	912.742981	4.711875	-7.748125	-8.181250
-150.242996	56.791000	995.825012	0.354375	-23.108749	-6.120625
-158.904999	104.919998	1042.124023	0.441875	-20.431250	-2.747500
-152.072998	127.917000	1086.044067	-1.417500	-11.086250	0.100625
-141.154007	124.318001	1115.446045	-9.209375	-14.441875	5.005000
-74.724998	114.497002	1115.567993	-4.379375	-11.186875	3.574375
-110.776001	144.570007	1120.875000	1.102500	-8.430625	-1.163750
-88.633003	185.501007	1113.799072	-0.660625	-9.585625	3.193750
-77.714005	162.565002	1142.530029	-1.798125	-8.798125	4.318125
-91.072998	174.460007	1142.041992	-1.754375	-5.652500	1.513750
-48.678001	153.658997	1150.276978	-2.598750	-9.135000	-0.997500
-42.882999	173.179001	1132.891968	-2.948750	-7.035000	-1.408750
-6.771000	131.089005	1121.363037	-1.824375	-5.075000	0.726250
147.742004	211.487000	1143.140015	-12.722500	-4.970000	-6.317500
167.567001	232.471008	1211.155029	-16.948750	-11.567500	-11.790625
161.710999	280.843994	1288.930054	-22.084999	-15.369375	-17.066875
193.736008	295.606018	1397.021973	-40.547501	-17.666250	-24.364374
231.251007	342.820007	1460.828003	-58.012501	-9.524375	-31.994375
241.011002	387.106018	1595.150024	-92.885628	2.161250	-20.308750
267.667999	221.125000	1600.578979	-114.318748	25.191250	1.308125
176.290009	77.592003	1306.010010	-115.001251	62.230000	-14.109375
16.042999	-7.747000	1253.367065	-81.926247	67.256874	-28.770000
13.054000	30.195000	1215.669067	-59.928749	54.009377	-24.828125
-9.089000	-217.038010	1220.915039	-44.366875	18.878124	-21.017500
51.118000	-195.992996	1195.905029	-8.898750	-29.106874	-4.935000
129.807999	-367.463989	1063.901001	1.566250	-19.569374	-25.987499
249.246002	-374.479004	966.362000	24.438749	45.119373	-61.254375
63.318001	-275.781006	823.134033	37.060623	96.061874	-38.058125
110.653999	-346.907013	850.950012	52.009998	82.214996	-31.644375
208.925003	-331.839996	733.890991	68.831879	58.410625	-47.669998
100.040001	-284.138000	712.541016	82.779373	62.654373	-31.443125
-38.796001	-82.106003	892.125000	62.269375	43.185623	-20.610624
4.880000	-149.266998	764.452026	41.951874	28.319374	-28.231874
-74.786003	-130.356995	808.738037	27.278126	8.863750	-0.573125
-120.536003	-170.251007	890.539001	23.940001	10.990000	12.643750
-165.432007	-135.968994	919.026001	17.780001	24.377501	6.903750
-243.755997	-38.368999	976.061035	13.405000	6.238750	4.103750
-196.419998	-4.880000	1000.095032	19.731251	-9.598750	0.070000
-267.363007	28.731001	1049.505005	19.328751	-10.224375	3.618125
-199.531006	63.500999	1088.422974	15.146250	-9.165625	6.265000
-211.365005	95.648003	1102.880005	13.195000	-6.195000	3.211250
-173.667007	105.529999	1111.724976	4.392500	-11.764375	2.314375
-136.701004	105.774002	1114.531006	4.471250	-14.590625	2.782500
-166.529999	119.071999	1095.072021	3.390625	-3.793125	0.236250
-102.358002	93.390999	1099.036987	-2.581250	-5.735625	4.396875
-120.658005	97.051003	1074.026978	-2.581250	-0.231875	0.953750
-177.936996	102.906998	1068.659058	-2.209375	-0.231875	0.953750
-177.936996	102.906998	1087.568970	-2.419375	2.493750	2.555000
-162.382004	127.185005	1087.568970	2.625000	-8.198750	-0.420000
-170.128998	87.168999	1123.315063	1.671250	-15.863750	-3.635625
-134.261002	88.206001	1134.234009	-1.290625	-11.431875	-3.119375
192.760010	220.087997	1055.848999	-2.520000	0.564375	1.855000
192.028000	206.790009	1094.401001	-3.714375	-1.509375	-0.713125
205.692001	216.854996	1095.193970	-2.366875	-2.261875	-3.618125
214.048996	230.091995	1103.672974	-0.590625	-2.918125	-3.145625
213.744003	236.130997	1095.133057	0.345625	-3.018750	-3.788750
171.227005	306.769012	1131.610962	2.445625	-6.715625	-4.497500
215.695999	514.413025	1306.315063	-9.200625	-15.054375	-1.938125
238.449005	609.877991	1477.907959	-34.982498	-20.085625	3.211250
314.638000	591.455994	1422.581055	-65.852501	-23.996876	2.703750
281.575989	449.570007	1418.128052	-72.069374	-18.764376	0.853125
338.183990	298.717010	1392.691040	-44.493752	8.421875	-12.298125
294.264008	310.977997	1430.877075	-28.971251	29.610001	-26.245625
323.544006	80.276001	1354.200073	-13.155625	33.324375	-28.008751
311.039001	3.294000	1225.855957	-3.136875	26.547501	-38.596249
271.389008	-64.721001	1254.037964	13.636875	34.356876	-46.243752
247.843002	-137.067001	939.400024	27.838125	48.208126	-66.027496
161.955002	58.499001	997.960022	-3.701250	37.585625	-63.756874
269.742004	-187.880005	923.479004	0.218750	20.046249	-50.531250
292.373016	-120.353004	844.971985	25.108126	1.343125	-59.403751
215.330002	-103.090004	755.241028	45.832500	1.229375	-51.029999
139.690002	-41.358002	638.975037	25.926250	9.944375	-33.871250
71.065002	3.660000	753.289001	4.764375	23.743126	-4.016250
-4.026000	-33.733002	844.117981	-5.188750	56.472500	4.860625
-119.864998	15.433001	936.716003	-19.783751	55.125000	2.839375
-118.706001	4.209000	1091.777954	-10.902500	2.791250	3.871875
-8.662000	38.491001	1090.802002	10.876250	-22.281876	-4.388125
-94.245003	79.910004	1103.368042	7.813750	-32.401249	-7.866250
29.158001	22.875000	1169.796997	6.733125	-24.758125	12.219375
-17.690001	141.093002	1145.640991	17.736250	-7.179375	15.106875
70.150002	102.418999	1037.732056	8.999375	-5.709375	11.335625
61.671001	200.873001	950.197021	-4.978750	-8.960000	1.260000
5.185000	141.276001	949.526001	-16.445625	5.481875	1.448125
0.854000	168.970001	1055.177979	-26.490625	17.430000	18.816875
56.547001	113.277000	1144.725952	-17.338125	-1.303750	26.744375
82.349998	54.046001	1100.073975	-5.184375	-9.283750	1.575000
38.307999	73.016998	1168.333008	1.190000	-15.806875	-3.027500
83.692001	95.465004	1119.838013	-0.306250	-11.261250	0.319375
51.362000	126.391998	1180.959961	-2.559375	-7.297500	0.161875
302.682007	98.820000	1061.338989	3.880625	-0.424375	3.307500
332.205994	96.624001	1077.504028	3.071250	-1.933750	1.986250
339.830994	110.776001	1078.235962	2.148125	-1.273125	-0.892500
351.847992	141.154007	1072.197021	0.861875	0.835625	-1.426250
339.464996	148.779007	1062.315063	-0.035000	0.249375	-1.723750
325.496002	194.834000	1096.230957	0.258125	-2.699375	-0.748125
325.618011	328.363007	1285.697021	-3.543750	-7.844375	-0.665000
319.945007	538.325012	1558.854980	-13.190625	-8.640625	8.351875
447.313019	516.609009	1601.250000	-46.108124	-1.264375	19.595625
451.705017	423.462006	1576.545044	-62.860001	-1.693125	8.435000
444.751007	339.464996	1354.627075	-63.656250	7.665000	-15.155000
469.151001	212.768005	1322.723999	-52.976875	24.653126	-34.103127
445.239014	106.506004	1222.744995	-36.014999	34.877499	-42.818127
429.683990	-42.151001	1001.986023	-14.284375	55.763748	-42.822498
371.673004	-37.027000	1047.369995	3.854375	67.195625	-30.362499
332.511017	-25.864000	1003.510986	19.389999	71.806877	-15.570625
173.484009	-168.970001	950.197021	17.745001	71.168121	-14.647500
289.688995	-242.475006	937.997009	3.058125	42.105000	-28.275625
119.926003	-240.035004	805.871033	2.480625	41.133751	-34.851250
91.682999	-256.809998	706.562988	11.585000	50.719376	-32.672501
90.767998	-147.253998	816.179993	22.968750	22.172501	-29.658125
-43.493000	-163.479996	749.324036	22.522499	11.392500	-11.803750
33.793999	-137.250000	863.210999	16.454374	0.756875	-11.501875
-59.414001	-64.293999	901.031006	9.716875	-14.533750	-9.756250
-1.830000	-97.722000	924.210999	2.130625	-11.606875	-10.858750
-42.517002	-67.587997	990.457031	-3.106250	-12.503750	-11.913125
-18.117001	-62.403000	1014.979004	-2.918125	-14.048125	-11.970000
-21.350000	-1.708000	1076.040039	-3.381875	-16.266251	-10.316250
18.117001	3.721000	1123.375977	-1.881250	-21.078751	-11.488750
32.452000	26.047001	1166.442017	-4.077500	-22.933750	-4.974375
100.589005	18.483000	1199.748047	-6.925625	-15.408750	-0.227500
76.799004	19.886000	1198.771973	-3.535000	-5.053125	-0.017500
102.418999	-10.370000	1188.828979	-1.688750	-1.728125	-1.684375
84.667999	28.487000	1144.359985	-0.437500	2.563750	-2.196250
103.761002	-21.228001	1123.498047	-1.373750	3.259375	-0.231875
61.549000	23.790001	1115.140991	-1.483125	3.473750	1.443750
72.468002	-22.082001	1091.229004	-0.398125	3.281250	2.747500
34.952999	-2.745000	1119.838013	-0.616875	-1.286250	2.931250
180.865005	1.159000	1065.853027	3.924375	1.662500	-1.155000
173.789001	-28.792000	1133.075073	7.105000	1.981875	4.795000
199.042999	-5.185000	1123.558960	7.166250	-1.198750	0.905625
209.108002	3.721000	1122.156006	2.734375	-2.887500	-0.713125
204.837997	18.544001	1110.870972	2.060625	3.088750	-2.143750
170.556000	72.773003	1197.369019	-9.598750	0.962500	-4.676875
208.925003	152.744003	1329.250977	-11.239375	-6.566875	-11.051250
199.042999	342.149017	1527.073975	-17.578751	-5.403125	-11.130000
286.394989	360.449005	1685.979004	-46.580624	-15.141875	-2.515625
244.061005	317.261017	1583.133057	-68.928123	3.517500	-11.256875
256.200012	9.638000	1476.870972	-75.048752	18.921875	-24.955000
217.221008	-104.737000	1275.021973	-44.012501	33.525623	-30.563749
250.222000	-256.139008	1298.140991	9.734375	58.415001	-44.721249
264.984009	-105.652000	966.423035	59.150002	82.963127	-77.686874
-74.298004	126.148003	884.134033	16.651251	66.675003	-59.031876
168.177002	-179.279007	900.970032	-9.113125	56.708752	-10.342500
-66.856003	-190.259003	850.096008	-20.492500	38.976875	-11.169375
36.844002	-267.667999	925.126038	5.630625	21.507500	-33.293751
246.745010	-354.226990	865.468018	26.250000	47.241249	-29.649376
23.607000	-353.067993	875.593994	23.546249	68.796875	-0.673750
-70.515999	-269.071014	944.829041	26.053125	34.378750	7.323750
-147.498001	-321.287018	886.513000	-0.647500	6.168750	-20.719999
-161.893997	-242.292007	854.854004	-3.955000	1.535625	-26.267500
-85.888000	-251.014999	916.708008	1.557500	-1.802500	-23.178749
-197.395996	-197.578995	989.419983	0.450625	-16.331875	-6.676250
-71.980003	-208.803009	982.283020	3.661875	-23.721251	-6.645625
-160.369003	-133.834000	1030.046021	7.927500	-24.793125	-18.103750
-123.037003	-168.848007	1062.010010	7.131250	-23.848125	-7.091875
-19.032000	-75.029999	1033.218018	15.408750	-31.513124	-7.756875
-37.209999	-36.050999	1041.574951	7.008750	-43.456875	-20.601875
5.734000	-37.820000	1053.958008	1.833125	-34.798752	-6.098750
35.380001	-24.888000	978.440002	-12.328750	2.073750	-0.039375
-15.250000	-104.919998	1078.296997	-21.997499	24.950624	-0.726250
-53.375000	-86.070999	1116.727051	-8.286250	17.928749	4.558750
-60.573002	-159.514999	1077.442993	-2.292500	8.977500	0.100625
-83.509003	-141.520004	1118.984009	-0.765625	-21.008751	-4.921875
-55.875999	-154.757004	1161.683960	2.231250	-30.104376	3.788750
-6.283000	-80.153999	1131.550049	-3.163125	-3.443125	0.118125
87.840004	13.298000	1074.697998	0.494375	-5.433750	-0.126875
104.066002	1.525000	1096.230957	3.723125	-5.753125	2.896250
119.194000	36.050999	1127.401978	5.980625	-9.988125	0.468125
168.238007	53.802002	1169.004028	1.028125	-11.344375	-2.559375
161.100998	54.534000	1167.174072	-0.914375	-3.609375	-3.745000
81.251999	175.192001	1248.730957	-8.802500	-3.136875	-5.241250
116.205002	228.811005	1406.598999	-16.362499	-7.284375	-5.320000
106.445000	300.303009	1553.853027	-14.936250	-5.993750	-3.430000
171.593002	393.205994	1570.140015	-19.766251	7.231875	-6.146875
232.531998	275.049011	1518.900024	-29.955626	19.976250	-19.223749
179.522995	270.351990	1604.117065	-16.441250	13.413750	-25.983126
269.376007	167.322998	1308.328003	-6.846875	9.156875	-25.243750
184.891006	-1.830000	1300.458984	-11.790625	20.317499	-21.914375
258.152008	-66.124001	1156.437988	9.034375	31.346874	-14.126875
189.893005	-184.525009	1025.593018	23.751875	44.371250	-11.554375
163.419006	-156.891998	1074.697998	14.918750	37.996876	-17.613750
243.207001	-261.263000	931.958008	11.095000	48.002499	-19.061874
52.826000	-112.301003	760.548035	16.528749	89.153748	-28.586250
-105.408005	-247.477005	741.272034	14.756875	62.081249	-42.279999
-117.913002	-237.716995	675.757996	19.153749	25.466875	-20.273750
-178.119995	-237.167999	677.343994	26.267500	23.178749	-25.668125
-179.218002	-257.298004	758.169006	31.219999	-10.377500	-24.080000
-148.839996	-168.725998	870.653015	28.485624	-29.006250	-25.786249
-151.889999	-192.455002	936.411011	11.738125	-38.206875	-27.811874
-84.729004	-101.748001	1070.183960	2.380000	-29.155001	-29.071875
-20.740000	-95.098999	1105.747070	-5.591250	-26.928125	-39.497501
-7.442000	26.718000	1076.650024	-27.956249	-46.541248	-51.248749
-28.975000	117.363998	1096.963013	-25.891251	-22.172501	-41.737499
-7.503000	14.701000	1072.562988	-26.525625	23.931250	-18.042500
-5.124000	4.453000	1139.662964	-38.609375	51.450001	1.518125
-202.581009	-80.336998	1119.105957	-35.406876	40.963123	14.892500
-171.531998	-104.737000	1045.844971	-20.733126	-4.843125	18.313749
-147.436996	-94.306000	1106.540039	-5.075000	-38.325001	2.423750
-53.558002	-157.990005	1128.195068	5.643750	-37.419376	-2.699375
-21.837999	-85.278000	1141.432007	7.345625	-23.353750	-10.640000
40.260002	-119.804001	1135.880981	-0.778750	-12.306875	-7.835625
-3.843000	-87.961998	1144.055054	-2.804375	-2.725625	-4.773125
-12.993000	-128.404999	1127.524048	-3.040625	-1.255625	-3.745000
132.736008	70.272003	1121.302002	1.071875	-0.770000	-2.537500
135.298004	64.476997	1124.535034	-0.284375	-1.640625	-0.984375
151.279999	68.014999	1115.750977	0.118125	-0.708750	-1.172500
120.658005	68.076004	1129.598022	1.334375	-1.623125	-4.930625
147.009995	103.028999	1115.933960	-1.404375	-2.922500	-10.780000
127.978004	174.764999	1230.919067	-7.713125	-7.857500	-12.311250
187.270004	219.722000	1318.636963	-12.346250	-12.538750	-10.206875
133.651001	401.502014	1457.046021	-21.568750	-12.328750	-8.911875
224.113998	307.440002	1526.525024	-32.204376	-37.375626	-0.428750
237.167999	325.252014	1340.657959	-19.551874	-37.244373	-5.140625
173.362000	293.653992	1430.816040	-12.416250	-18.300625	-11.270000
302.011017	266.875000	1523.901978	8.500625	11.270000	-6.820625
274.072998	149.145004	1387.322998	10.189375	48.654373	-4.410000
265.289001	-28.365000	1447.286011	16.113125	51.196251	-5.726875
284.199005	-35.196999	1214.510010	15.640625	54.617500	-25.169374
157.257996	-69.052002	988.505005	19.433750	60.427502	-46.816875
114.009003	-70.150002	1067.865967	-18.956875	37.126251	-55.873123
240.279007	-160.003006	915.000000	-24.679375	27.212500	-73.044998
152.317001	-95.831001	839.604004	-25.738125	32.392502	-66.644379
87.718002	-119.011002	794.585999	-33.853748	48.168751	-33.271873
101.870003	-140.727005	754.020996	-26.193125	58.611874	-16.069374
-73.566002	-241.865005	802.515991	-1.163750	75.556252	-16.104376
-97.051003	-103.211998	823.927002	4.230625	65.003754	-10.176250
-165.981003	-175.375000	811.726990	5.512500	17.810625	0.770000
-177.936996	-170.251007	875.350037	19.350624	-12.901875	-9.380000
-146.643997	-139.934006	860.466003	23.450001	-16.861250	-2.782500
-224.113998	-86.193001	986.126038	15.347500	-18.138750	2.686250
-148.718002	-104.919998	973.864990	7.306250	-17.714375	1.798125
-200.994995	-4.087000	1045.357056	5.652500	-16.926874	-3.535000
-173.484009	-48.007000	1050.114990	3.819375	-17.451876	-9.555000
-125.172005	17.141001	1113.250000	-3.438750	-20.076876	-5.320000
-113.459999	-22.021000	1101.721069	-5.180000	-11.370625	0.083125
-117.608002	13.603000	1137.344971	-5.031250	-6.645625	-2.165625
-84.240997	-32.085999	1136.063965	-4.156250	-11.480000	3.040625
-96.989998	3.111000	1159.792969	1.181250	-13.829375	-0.380625
-73.749001	-24.339001	1120.020996	1.907500	-10.543750	-1.229375
-76.860001	1.952000	1130.025024	-3.508750	-5.092500	-0.188125
-54.229000	-23.607000	1107.088989	-5.766250	-0.870625	-2.673125
151.951004	99.979004	1099.769043	2.721250	0.083125	-3.924375
152.378006	117.608002	1103.428955	-0.507500	0.424375	-3.701250
170.311996	114.680000	1123.437012	-2.948750	1.430625	-2.568125
143.167007	100.040001	1090.313965	-4.908750	1.824375	-4.081875
140.910004	85.888000	1110.749023	-0.875000	-1.627500	-3.657500
144.996994	134.992996	1121.363037	2.699375	-2.358125	-3.521875
131.638000	247.477005	1295.213013	-2.301250	-6.943125	-1.701875
127.124001	397.963989	1459.546997	-3.460625	-10.198125	6.969375
154.695999	463.783020	1532.015015	-22.303749	-10.994375	6.453125
235.399002	388.752991	1608.813965	-35.231876	-6.444375	1.465625
236.557999	296.338013	1603.385010	-27.575624	6.790000	-7.975625
233.141998	258.334991	1442.101074	-7.310625	25.637501	-21.319374
241.621002	107.420998	1263.737061	15.903125	33.770626	-32.480000
177.876007	119.559998	1103.245972	19.521250	27.365625	-48.221249
218.441010	60.329002	946.354004	19.521250	25.086250	-51.432499
154.574005	81.923004	937.265015	22.356251	25.086250	-51.432499
154.574005	33.428001	903.898010	-4.020625	11.956875	-49.870625
161.833008	33.428001	903.898010	-13.413750	30.030001	-52.832500
157.990005	14.640000	901.702026	-17.740625	50.671249	-39.633125
75.212997	86.925003	878.216980	-13.982500	64.736877	-37.240002
-89.974998	-79.971001	938.179993	-16.406250	52.959373	-25.497499
-106.017998	-101.565002	925.553040	-3.298750	29.190001	-32.243752
-86.803001	-305.976013	892.918030	15.036875	32.659374	-51.082500
-114.252998	-250.893005	915.549011	21.831249	-9.852500	-21.931875
-83.447998	-164.029007	967.277039	35.384998	-29.106874	-15.010625
-80.946999	-141.581009	993.690002	31.670626	-11.335625	-14.616875
-92.780998	-16.836000	1009.549988	16.108749	-13.238750	-5.713750
-119.499001	23.607000	1026.995972	9.323125	10.215625	-8.859375
-126.209000	23.790001	1006.255981	2.200625	10.696875	-1.715000
-129.930008	97.234001	1051.395996	1.981875	1.347500	4.501875
-143.593994	81.862000	1046.394043	2.786875	4.125625	5.201875
-140.361008	96.746002	1074.820068	-5.416250	-1.461250	3.968125
-117.058998	103.028999	1094.645020	-7.599375	-5.254375	4.751250
-103.456001	92.415001	1117.581055	-6.435625	-2.515625	1.706250
-116.998001	109.556000	1116.787964	-2.117500	-3.994375	1.023750
-87.351997	88.754997	1114.958008	-2.861250	-4.221875	2.275000
-85.217003	84.057999	1127.036011	-3.640000	-4.825625	1.758750
-63.623001	89.243004	1120.997070	-3.014375	-6.203750	3.565625
223.260010	181.658005	1047.858032	4.830000	-2.730000	0.796250
