A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-138.835999	157.257996	1115.750977	1.850625	-0.013125	-0.783125
-132.309006	154.695999	1104.282959	0.371875	0.083125	-1.168125
-143.899002	173.789001	1106.296021	0.371875	-2.318750	-0.555625
-130.173996	151.097000	1091.046021	-2.117500	-2.318750	-0.555625
-130.173996	151.097000	1091.046021	-2.568125	-2.353750	-0.896875
-128.587997	165.919998	1087.995972	-1.570625	-1.859375	-1.925000
-142.740005	142.923004	1094.156982	0.896875	0.883750	-1.299375
-156.891998	168.848007	1084.275024	2.559375	0.415625	-3.902500
-146.949005	154.695999	1090.009033	2.266250	0.035000	-2.445625
-133.956009	163.175003	1053.409058	0.310625	1.653750	-1.343125
-152.988007	172.569000	1031.937012	1.426250	-3.976875	-2.813125
-129.625000	172.630005	934.398010	0.608125	-2.244375	-3.473750
-49.532001	114.131004	726.692993	1.610000	5.232500	-4.974375
-26.901001	97.112000	575.656982	7.533750	11.081875	-11.987500
-53.985001	162.320999	429.989014	-8.290625	6.816250	-10.556875
14.823000	88.999001	377.834015	-22.553125	7.113750	2.760625
-83.997002	180.072006	526.612976	-20.173124	18.239374	9.712500
24.400000	44.957001	609.572998	-28.879375	25.606874	19.705000
-50.386002	55.083000	904.020020	-2.117500	36.964375	29.120001
-152.072998	153.658997	987.163025	-7.153125	-21.813749	5.508125
-109.678001	-2.928000	1073.295044	-4.558750	-74.751251	32.816875
-30.378000	272.914001	1281.915039	-1.036875	-97.881874	-4.418750
57.950001	233.324997	1297.592041	-10.775625	-125.068123	-38.806252
283.101013	26.230000	1284.477051	-13.400625	-107.974998	-34.208126
481.412018	92.537003	1456.436035	12.656875	-93.191872	-30.170000
287.859009	222.955002	1262.273071	19.267500	-77.682503	-27.566875
387.532990	164.395004	1613.145020	14.157500	-85.430626	-7.638750
430.660004	218.684998	1620.221069	20.050625	-99.881248	-9.804375
373.015015	283.467010	1618.452026	42.770000	-86.716873	3.696875
520.513000	226.492996	1626.321045	85.697502	-45.259377	-7.901250
519.720032	420.960999	1499.989990	110.643753	1.461250	-3.535000
306.158997	541.070007	1404.586060	55.125000	16.283751	4.278750
204.899002	441.213013	1172.541992	9.948750	2.953125	5.324375
349.591003	427.731995	1180.899048	-22.977501	4.165000	0.936250
376.369995	307.867004	1104.832031	-27.260626	16.318750	-5.936875
370.575012	239.181000	1061.461060	-15.168125	22.610001	-2.135000
-255.956009	10.675000	929.213013	-8.172500	13.615000	-0.498750
-226.309998	26.718000	827.221008	-11.042500	13.055000	-1.575000
-178.973999	31.415001	719.190002	-6.868750	17.403749	-2.222500
-228.384003	-46.360001	703.940002	-8.220625	13.238750	0.945000
-164.944000	68.869003	710.101013	-15.942500	11.882500	9.314375
-206.363007	41.297001	645.013977	-26.989374	29.242500	9.948750
-257.664001	-35.868000	756.156006	-33.678749	44.607498	21.870625
-159.027008	34.342999	695.278015	-43.408749	38.211250	21.984375
-393.328003	-48.312000	756.643982	-45.298752	26.879999	22.395624
-272.182007	-131.455002	771.161987	-40.595627	-21.857500	22.176874
-544.791016	-81.191002	1093.242065	-19.989374	-50.636250	16.489374
-246.013000	-21.106001	1067.072998	15.767500	-102.453751	4.913125
-255.406998	-78.873001	1131.733032	19.166876	-116.156250	-2.082500
-101.138000	74.054001	1218.353027	2.012500	-108.106247	-25.121250
-82.777000	-57.278999	1123.131958	-3.688125	-100.555000	-39.716251
-32.269001	-66.184998	1414.468018	11.291875	-71.019379	-33.529999
16.896999	-122.305000	1365.057983	15.916250	-43.203125	-34.396252
-76.982002	-152.012009	1484.130005	25.116875	-19.490625	-16.852501
