A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-10.675000	36.660999	1109.712036	3.784375	-1.133125	-2.909375
-17.019001	31.964001	1121.911987	3.736250	-2.730000	-3.386250
18.971001	37.393002	1125.510986	2.384375	-4.200000	-3.412500
8.967000	38.552002	1130.269043	1.308125	0.459375	-2.073750
-15.921000	22.936001	1119.899048	0.997500	1.631875	-2.388750
-11.651000	24.888000	1112.457031	0.118125	0.148750	0.140000
1.098000	27.267000	1123.131958	-0.126875	-0.883750	3.176250
8.357000	21.777000	1111.847046	-0.126875	-2.165625	3.749375
7.930000	53.070000	1113.250000	2.314375	-2.165625	3.749375
7.930000	53.070000	1099.463989	3.049375	-2.896250	7.450625
9.760000	48.799999	1099.463989	2.419375	-0.533750	10.622500
-0.793000	59.292000	1108.308960	1.824375	0.468125	15.627500
-8.357000	55.754002	1113.921021	0.245000	-1.391250	19.906250
0.549000	52.338001	1130.452026	0.879375	-1.505000	19.258751
-5.917000	58.621002	1136.613037	3.185000	-0.389375	19.092501
-10.492001	49.348999	1132.037964	1.229375	-2.178750	17.968124
4.636000	54.351002	1132.037964	-2.673125	-0.774375	13.221250
8.967000	43.493000	1134.295044	-4.383750	-0.179375	7.984375
5.490000	38.430000	1126.243042	-3.613750	1.032500	4.519375
18.544001	39.040001	1125.083984	-0.459375	1.750000	2.095625
1.220000	47.153000	1118.435059	-1.544375	2.778125	3.780000
6.649000	44.774002	1107.942993	-2.126250	0.573125	7.332500
-15.921000	65.209000	1119.593994	0.166250	0.818125	5.263125
-0.854000	38.247002	1107.454956	-0.070000	1.750000	2.183125
-11.895000	17.568001	1109.773071	1.080625	-2.786875	1.605625
-3.111000	24.948999	1112.822998	-1.312500	-5.368125	6.400625
5.795000	28.487000	1118.191040	-3.110625	-6.111875	12.766250
17.690001	19.580999	1119.593994	-1.820000	-6.365625	16.537500
6.893000	25.802999	1102.514038	1.246875	-3.797500	19.079374
17.568001	44.834999	1116.544067	0.678125	-4.585000	26.359375
16.592001	38.735001	1126.303955	1.771875	-1.793750	26.761875
19.032000	15.555000	1123.375977	2.804375	-2.555000	27.636875
27.999001	26.352001	1128.682983	-1.080625	-4.690000	28.297501
22.326000	32.635002	1122.217041	-5.871250	-0.980000	29.290625
17.812000	3.538000	1113.188965	-4.921875	-1.999375	26.573750
21.045000	22.631001	1118.801025	-7.826875	-2.454375	27.221251
16.469999	23.668001	1109.041016	-11.427500	-2.559375	29.093750
21.533001	18.910000	1107.394043	-12.726875	-1.715000	26.993750
43.371002	-23.485001	1125.206055	-7.936250	-2.786875	19.442499
24.156000	-20.191000	1111.420044	-5.009375	-2.240000	16.756250
30.316999	-26.657000	1126.303955	-1.601250	-4.895625	14.931875
41.358002	-19.215000	1124.839966	1.544375	-7.135625	12.783750
51.300999	-19.276001	1131.610962	3.447500	-4.379375	11.318125
20.130001	-11.285000	1123.681030	4.090625	-1.461250	11.646250
41.418999	-19.825001	1124.352051	3.648750	-2.436875	12.289375
26.718000	1.525000	1101.598999	6.116250	0.651875	10.158750
30.805000	2.440000	1122.827026	7.481250	-0.525000	12.420625
39.101002	22.631001	1115.140991	8.614375	0.437500	9.043125
20.007999	10.553000	1132.281982	5.018125	1.421875	9.703750
47.336002	7.198000	1143.140015	1.767500	-3.994375	7.953750
51.545002	-1.647000	1138.260010	-0.896875	-4.077500	-3.377500
70.698997	-31.964001	1141.980957	-1.605625	-0.205625	-12.950000
27.084000	-1.220000	1141.920044	-1.977500	1.238125	-19.923750
48.007000	-15.982000	1125.450073	0.555625	0.490000	-22.106874
43.431999	13.664001	1120.692017	2.200625	6.453125	-23.681875
6.039000	-13.359000	1115.933960	2.887500	8.509375	-24.867500
