A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
55.205002	76.920998	1128.500000	-1.452500	-4.300625	6.505625
47.885002	68.014999	1114.958008	-1.452500	-4.300625	4.357500
47.885002	41.174999	1127.645996	-0.848750	-4.427500	4.357500
62.341999	41.174999	1127.645996	-0.096250	-1.181250	5.057500
44.774002	29.097000	1114.469971	1.929375	-0.721875	5.403125
44.042000	47.091999	1103.795044	4.685625	-0.905625	3.535000
14.640000	-118.278999	1153.327026	11.760000	2.008125	4.812500
50.202999	-396.988007	1129.049072	18.462500	-7.118125	6.943125
12.383000	-432.734009	1121.973022	30.038750	-6.912500	15.448125
25.375999	-421.388000	1063.291016	33.976250	17.066875	24.281250
-27.877001	-255.468002	1063.108032	39.466873	23.016874	35.945000
-59.535999	-111.203003	1096.170044	33.525623	3.946250	47.578125
45.750000	-129.563995	1135.026978	14.376250	-8.365000	58.769375
170.434006	-28.365000	1145.031006	-2.730000	-21.975624	63.258125
246.806000	20.679001	1185.412964	-9.161250	-20.654375	61.280624
287.675995	190.930008	1190.781006	-31.346874	-17.141251	54.429375
257.420013	341.112000	1107.881958	-34.956249	-3.342500	45.101875
219.173004	331.778992	1105.686035	-32.493126	10.255000	35.625626
191.113007	291.763000	1112.945068	-19.792500	19.521250	19.569374
104.737000	357.643005	1020.408020	-24.342501	22.194374	15.207500
145.363007	264.739990	1225.307007	-21.870625	0.450625	16.533125
222.040009	226.859009	1114.958008	2.301250	-7.730625	23.069374
188.001999	357.643005	1125.937988	-4.060000	-8.645000	35.700001
189.466003	226.615005	1142.041992	3.451875	-25.243750	34.995625
260.774994	337.696014	1085.860962	-2.765000	-21.686874	34.457500
200.811996	306.463989	1100.927979	-13.251875	-25.690001	34.098751
292.067993	166.408005	1118.678955	-14.245000	-22.570625	24.268126
232.288010	210.206009	1108.308960	-13.020000	0.061250	10.727500
185.074005	114.070000	1111.847046	-3.053750	5.783750	4.313750
205.387009	147.132004	1070.489014	1.211875	10.154375	-5.595625
110.166000	76.555000	1090.375000	7.271250	8.798125	-9.944375
201.788010	134.565994	1147.410034	20.020000	-8.942500	-13.956250
162.565002	171.348999	1073.539062	13.055000	3.850000	-8.369375
148.352005	135.175995	1112.578979	4.571875	10.530625	-4.431875
112.728004	92.780998	1104.526978	-2.104375	8.238125	-6.558125
115.167999	94.306000	1119.593994	-2.511250	5.096875	-10.386250
119.133003	114.009003	1119.105957	-3.570000	0.678125	-11.961250
100.405998	110.898003	1133.624023	-5.197500	1.133125	-7.153125
46.726002	5.429000	1114.592041	1.745625	-1.513750	4.602500
38.125000	11.651000	1128.622070	-0.105000	-2.471875	1.216250
23.424000	-12.383000	1113.859985	3.268125	2.209375	0.783125
21.594000	10.187000	1113.738037	2.078125	3.058125	1.155000
14.945000	4.453000	1109.833984	2.550625	2.244375	0.599375
2.867000	-52.764999	1125.083984	4.851875	5.718125	-4.598125
0.122000	-235.154999	1130.635010	12.661250	-0.004375	-13.531875
-20.130001	-416.080994	1147.776001	20.251875	-2.458750	-12.040000
-116.510002	-454.755005	1113.128052	19.595625	16.786875	-6.195000
-96.929001	-452.619995	1082.018066	27.930000	20.133751	-0.892500
-63.867001	-382.897003	1055.483032	35.796249	3.666250	10.631250
-35.380001	-266.143005	1057.251953	41.431252	1.168125	25.991875
-20.862000	-121.084999	1101.660034	31.718750	0.210000	32.466873
71.980003	-87.047005	1121.973022	17.793125	-12.801250	35.752499
112.667000	132.369995	1152.534058	8.618750	-16.218124	40.201874
93.818001	116.510002	1142.591064	-0.503125	3.180625	35.892502
294.873993	124.135002	1165.526978	-1.522500	-3.136875	31.469376
104.554001	287.737000	1122.827026	-5.827500	3.233125	24.661875
100.040001	415.471008	1145.640991	-27.488125	14.721875	29.666876
178.119995	291.458008	1217.864990	-37.966251	14.315000	41.523125
165.859009	332.632996	1141.920044	-48.790001	18.620001	39.497501
30.683001	240.584000	1173.274048	-44.380001	26.298124	38.535000
136.152008	277.610992	1063.962036	-25.943750	13.396250	40.971874
-42.151001	217.281998	1123.010010	-13.470625	12.136250	47.753124
75.701004	308.294006	1196.576050	-1.920625	-11.278750	29.920626
79.361000	267.972992	1079.516968	0.310625	-21.271250	25.055626
52.764999	256.382996	1082.445068	0.105000	-12.495000	23.891874
-38.674000	168.421005	1091.838989	-8.728125	-3.963750	3.867500
-59.475002	100.345001	1162.233032	-5.630625	-12.468750	0.096250
4.758000	95.526001	1242.875000	12.306875	-27.387501	-1.010625
122.305000	118.401001	1153.571045	19.573750	-23.091249	-19.744375
