A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
195.626999	60.268002	1087.508057	-0.476875	-16.279375	-1.001875
146.033997	108.580002	1121.850952	7.971250	-10.408125	-4.221875
145.912003	132.309006	1117.520020	9.751875	-9.025625	-2.734375
138.287003	170.007004	1143.201050	7.525000	-2.231250	-1.290625
131.455002	229.848007	1148.935059	3.788750	7.170625	0.336875
81.008003	160.247009	1153.937012	-2.830625	12.845000	2.003750
88.023003	162.931000	1121.057983	-3.198125	12.166875	2.996875
79.848999	280.539001	1076.527954	-1.588125	5.705000	1.876875
98.149002	393.632996	1079.516968	-5.285000	-5.565000	0.021875
160.186005	506.848999	1052.432983	-12.464375	-7.078750	-8.920625
110.776001	573.949036	1036.511963	-21.336876	-4.156250	-17.500000
138.104004	539.362000	1045.234985	-24.670626	-3.311875	-25.830000
188.184998	542.838989	1039.013062	-17.346874	-18.239374	-31.565624
269.924988	514.169006	1110.016968	-12.604375	-27.571251	-31.215626
331.108002	402.356018	1073.905029	-13.282500	-31.521875	-30.121876
385.337006	306.220001	1087.874023	-12.092500	-19.477501	-32.125626
334.402008	151.768005	1148.264038	-12.381250	-16.143749	-27.081249
343.613007	55.510002	1148.630005	-10.994375	-10.403750	-38.465000
372.343994	-45.688999	1108.065063	-8.732500	-5.630625	-44.799999
248.391998	-141.154007	1114.165039	-5.726875	-5.705000	-46.392502
266.204010	-181.719009	1101.110962	3.788750	-17.530624	-41.216873
264.252014	-127.551003	1047.919067	16.100000	-12.250000	-41.496876
250.587997	-34.892002	1068.781006	10.675000	-12.512500	-31.298750
305.183014	-141.276001	1184.315063	1.163750	-17.071251	-20.895000
185.378998	-230.275009	1225.855957	-20.838125	-29.373751	-3.351250
217.526001	-281.332001	1162.294067	-35.490002	-3.613750	-6.273750
148.412994	-275.658997	1086.654053	-19.525625	21.840000	-17.648750
127.063004	-231.800003	1060.729004	-1.028125	23.121876	-18.746876
129.686005	-165.859009	1007.781006	7.035000	9.340625	-9.358125
203.984009	-108.092003	1085.921997	10.666250	-2.135000	1.614375
222.100998	-61.122002	1079.151001	17.736250	-1.876875	5.827500
192.638000	-14.640000	1066.584961	25.633125	-4.086250	14.083125
209.229996	44.408001	1104.526978	18.620001	-11.939375	14.157500
228.079010	72.101997	1049.139038	13.396250	-20.719999	11.042500
225.456009	56.242001	1044.197998	0.848750	-19.630625	8.706250
291.153015	96.806999	1059.203979	-4.335625	-24.088751	9.603125
305.976013	78.690002	1119.228027	-4.777500	-17.880625	9.069375
337.451996	85.217003	1096.353027	-4.983125	3.224375	1.115625
202.031998	366.427002	1051.091064	-5.044375	-0.905625	-4.571875
209.413010	373.990997	1046.515991	-4.541250	0.831250	-3.233125
194.223999	408.395020	1077.381958	-1.903125	4.099375	0.183750
240.096008	431.209015	1072.014038	0.748125	10.233125	9.743125
90.097000	462.136017	1012.112000	4.016250	22.023750	-3.963750
40.015999	504.592010	1005.096985	-25.449375	30.979376	-2.336250
21.716000	518.744019	922.807983	-26.936874	17.097500	2.340625
-151.035995	628.177979	908.778015	-13.466250	-32.449375	3.342500
84.485001	811.299988	881.145020	-15.951250	-64.942497	24.556875
175.923996	655.994019	857.721008	-36.084999	-63.468124	12.350625
321.897003	580.109985	926.163025	-52.631248	-14.157500	8.785000
286.821991	289.933014	1056.824951	-62.733124	21.857500	7.800625
292.617004	288.652008	1177.421997	-36.789375	14.704375	-12.919375
405.710999	307.378998	1188.401978	-15.929375	-8.614375	-33.713749
318.114990	237.107010	1117.703003	-8.041250	-23.073750	-51.764999
387.899017	225.882996	1109.651001	-2.200625	-29.049999	-60.471249
389.667999	208.010010	1078.968018	-4.978750	-27.860001	-55.085625
420.045990	168.055008	1080.797974	-12.018125	-12.390000	-39.484375
397.658997	49.715000	1110.200073	-17.171875	0.070000	-26.158125
394.548004	15.250000	1094.462036	-17.311874	-1.391250	-16.961876
376.126007	-135.847000	1051.334961	-13.383125	1.671250	-1.719375
240.645004	-111.446999	1056.458984	-1.023750	4.077500	-4.571875
219.539001	-159.576004	1077.442993	5.451250	-0.411250	-5.193125
180.499008	-138.897003	1043.709961	10.696875	-12.630625	-2.480625
220.027008	-110.898003	1095.133057	9.992500	-3.841250	5.446875
303.109009	-71.187004	1186.328003	9.992500	-3.841250	6.186250
303.109009	-63.500999	1151.192017	2.393125	7.800625	6.186250
321.104004	-63.500999	1151.192017	-2.240000	15.666875	3.517500
271.450012	-20.862000	1116.421997	-5.906250	28.678125	1.106875
