A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
137.494003	48.250999	1139.906982	5.079375	8.610000	-0.612500
99.247002	64.660004	1135.088013	3.640000	14.647500	0.888125
95.770004	63.195999	1136.186035	3.084375	5.341875	2.012500
75.396004	51.179001	1115.812012	0.393750	1.736875	1.548750
42.944000	71.796997	1256.355957	-5.311250	-1.557500	5.963125
52.764999	52.459999	1247.266968	2.073750	-9.660000	-1.439375
45.811001	105.834999	1394.155029	-4.620000	-1.303750	2.108750
6.527000	70.393997	1690.432007	-24.145624	-7.875000	-5.009375
18.666000	114.070000	1571.786987	-26.985001	-15.754375	-14.000000
-33.244999	-15.921000	1728.008057	-26.945625	-6.846875	-14.630000
116.875999	28.182001	1563.857056	-14.971250	-2.839375	-45.491249
100.650002	-9.943000	1532.807983	6.133750	13.540625	-61.783749
209.352005	-43.920002	1382.687012	17.018749	32.309376	-69.925629
191.052002	-24.217001	1269.898071	12.210625	16.178749	-67.471252
263.398010	5.368000	1104.161011	12.184375	15.548750	-71.785004
225.395004	11.163000	1062.192993	-5.341875	15.719375	-79.664375
277.001007	85.522003	889.746033	0.100625	9.480625	-65.069374
91.744003	39.284000	870.591980	-6.273750	37.865623	-33.687500
137.128006	-44.957001	873.825012	5.320000	65.183128	-5.245625
134.565994	19.337000	822.280029	18.020624	44.611874	14.021875
12.810000	37.453999	997.655029	23.401875	37.423752	10.246250
-8.479000	41.053001	935.496033	17.386250	38.539375	-8.798125
18.300001	9.394000	896.639038	0.621250	19.543125	-13.645625
12.688000	58.987000	851.072021	-18.112499	22.290625	-19.438126
-50.630001	11.712000	747.921021	-15.071875	45.438751	-24.071251
-106.079002	29.524000	762.988037	-16.445625	34.969376	-17.228750
-189.770996	27.572001	727.608032	-18.698750	38.211250	-2.388750
-229.787003	23.058001	813.190979	-13.251875	25.943750	-0.879375
-268.705017	26.901001	884.682983	-8.303750	16.625000	-2.139375
-303.902008	5.795000	927.687988	-7.004375	16.292500	3.880625
-319.274017	20.007999	1022.604004	-0.848750	7.507500	4.458125
-358.009003	-16.775000	1046.942993	0.520625	-2.970625	2.436875
-330.010010	41.723999	1085.617065	-0.065625	-9.200625	2.848125
-255.102005	-32.513000	1083.604004	3.141250	-8.885625	-1.535625
-252.600998	41.114002	1103.551025	0.656250	-10.093125	-0.586250
-193.736008	-3.538000	1109.895020	1.111250	-8.273125	4.620000
-206.485001	13.420000	1120.386963	-0.761250	-3.946250	1.041250
