A_X[mg]	A_Y[mg]	A_Z[mg]	G_X[dps]	G_Y[dps]	G_Z[dps]	
-148.779007	162.016006	933.178040	0.087500	-2.651250	1.820000
-151.645996	177.753998	975.268005	-3.018750	-4.790625	2.034375
-178.059006	134.261002	981.062988	-0.236250	-4.690000	-2.331875
-138.165009	149.938004	1031.204956	-1.575000	-12.018125	-1.553125
-154.085999	139.628998	1031.754028	0.437500	-7.013125	-0.144375
-136.762009	113.033005	1054.140991	1.408750	-5.236875	-0.223125
-74.298004	108.092003	969.717041	2.047500	5.140625	-0.415625
-116.937004	95.586998	778.726013	-1.540000	16.992500	-0.910000
-96.075005	9.211000	578.768005	-4.396875	15.977500	-6.186250
-109.495003	86.986000	447.923004	-2.546250	4.410000	-7.735000
-71.065002	102.358002	350.506012	-10.976875	2.056250	-4.970000
44.225002	37.576000	498.796997	-14.730625	2.327500	-10.998750
-41.663002	66.612000	548.939026	-14.730625	1.811250	-17.110624
-109.250999	93.330002	659.471008	-5.022500	1.811250	-17.110624
-109.250999	93.330002	659.471008	1.461250	5.145000	-18.768749
-117.668999	25.681000	820.755005	10.688125	-10.994375	-14.752500
-101.260002	99.064003	998.752991	12.495000	-17.438749	-14.511875
-180.072006	124.013000	1202.310059	-4.620000	-41.418125	2.454375
-80.336998	92.475998	1253.977051	-6.050625	-51.655624	10.771250
-128.100006	10.370000	1411.601074	-5.705000	-50.019375	17.465000
-30.195000	58.194000	1449.665039	-2.913750	-40.687500	18.318125
-95.160004	58.804001	1616.988037	-5.131875	-56.017502	22.356251
26.840000	81.556999	1614.182007	10.154375	-32.445000	21.345625
-34.647999	163.419006	1509.322998	10.548125	-20.794374	22.526875
30.316999	164.456009	1433.255981	1.710625	-11.711875	23.108749
19.093000	144.326004	1254.343018	-4.921875	2.821875	19.363750
-11.224000	125.660004	1087.447021	-5.967500	13.562500	11.611250
-11.590000	116.815002	1017.906982	-3.714375	12.840625	6.348125
-6.039000	119.987000	982.466003	1.273125	12.210625	2.248750
-9.150001	113.642998	965.264038	3.666250	9.371250	0.476875
2.074000	87.656998	989.603027	5.556250	9.878750	-2.030000
-7.503000	122.061005	986.492004	5.223750	9.191875	-1.557500
29.463001	69.600998	1007.536987	-0.389375	7.463750	-1.255625
6.649000	64.538002	994.178040	-0.910000	10.535000	0.402500
14.823000	58.499001	1005.280029	0.083125	6.256250	2.082500
0.488000	70.515999	998.143005	3.570000	6.829375	2.944375
-24.095001	80.520004	1023.397034	3.784375	4.589375	2.852500
-24.888000	92.475998	997.898987	3.950625	6.943125	3.526250
-34.831001	79.971001	1017.419006	5.271875	6.728750	5.005000
-210.999008	127.368004	670.512024	-0.271250	-2.165625	-7.157500
-293.837006	132.796997	592.432007	-5.407500	-11.554375	-0.441875
-246.684006	124.135002	583.830994	-3.675000	-17.513124	2.345000
-370.757996	115.229004	629.520020	-3.364375	-20.982500	-9.848125
-191.356995	60.084999	704.306030	-11.375000	-30.174376	-11.121250
-145.302002	33.244999	738.039001	-16.791250	-21.358749	-20.488125
-202.824997	-77.835999	733.098022	-25.121250	-11.077500	-16.935625
-211.365005	-52.338001	827.038025	-15.330000	-11.641875	-12.499375
-273.524017	-99.307999	793.854004	-0.822500	-4.816875	-6.273750
-273.524017	-109.617004	917.074036	29.754375	-10.430000	11.283125
-268.705017	-39.955002	1012.173035	52.635624	-11.462500	10.430000
-383.385010	-11.956000	1178.276001	39.851875	-26.989374	0.945000
-164.944000	102.053001	1134.172974	21.446251	-15.159375	-23.327499
-260.104004	157.807007	1284.781982	16.760626	-6.772500	-24.128124
-293.898010	187.026001	1289.723022	7.643125	-26.210625	-7.564375
-291.701996	142.251999	1398.485962	-9.786875	-41.851250	4.458125
-302.498993	90.646004	1294.724976	-9.786875	-41.851250	4.458125
-302.498993	90.646004	1271.178955	-10.080000	-34.680626	13.335000
-274.865997	105.408005	1271.178955	-10.517500	-34.597500	17.486876
-272.304016	73.321999	1281.976074	-6.286875	-18.340000	13.785625
-318.541992	51.545002	1209.935059	0.971250	2.712500	7.210000
-371.307007	174.947998	1151.009033	1.671250	2.030000	3.972500
-268.460999	93.330002	1117.520020	-0.861875	-2.349375	-0.367500
-253.760010	98.759003	1107.698975	-3.360000	6.619375	-11.515000
-222.528000	43.859001	1096.230957	-3.850000	19.809999	-12.792500
-259.799011	43.431999	999.911987	1.019375	26.446875	-8.815625
-217.404007	56.852001	1003.999023	0.135625	19.604376	-4.733750
-196.847000	38.674000	977.768982	1.185625	19.293751	0.660625
-201.056000	53.436001	949.708984	-0.297500	18.497499	0.599375
-187.026001	58.376999	950.257996	-3.123750	15.050000	0.315000
-198.311005	55.388000	932.202026	-3.788750	11.676875	-1.426250
-205.143005	44.713001	950.807007	-4.103750	11.344375	-3.193750
-219.477997	60.878002	955.809021	-1.347500	5.446875	-2.275000
-223.503998	51.300999	960.200989	-2.108750	4.751250	-1.260000
-250.404999	38.063999	948.854980	-0.140000	3.556875	1.128750
-251.807999	41.907001	960.994019	-0.472500	1.260000	1.570625
-255.468002	13.603000	974.048035	-1.478750	1.561875	4.016250
-267.606995	-26.779001	976.304993	1.478750	2.165625	5.661250
-516.791992	53.618999	858.880005	3.333750	-1.115625	-0.249375
-500.078003	40.138000	866.627014	1.106875	-4.466875	-1.032500
-518.012024	50.874001	850.096008	0.647500	-1.741250	-2.756250
-493.063019	41.297001	847.290039	0.284375	-0.892500	-3.985625
-505.507019	55.021999	808.432983	-0.446250	-1.557500	-4.125625
-444.324005	49.897999	764.879028	-1.190000	-0.647500	-3.701250
-356.423004	40.199001	661.057007	1.688750	12.963125	-6.943125
-295.727997	26.352001	501.175995	5.153750	17.819374	-9.909375
-310.856018	33.244999	366.304993	8.299375	21.122499	3.902500
-261.385010	71.187004	304.877991	9.051875	16.861250	17.036249
-372.954010	9.638000	452.071014	-5.971875	-6.798750	5.311250
-308.476990	111.446999	622.565979	-9.528750	-20.361250	-2.576875
-345.931000	19.276001	696.010010	-12.998125	-19.398750	-14.783125
-472.750000	-25.864000	904.691040	1.785000	-21.052500	-5.184375
-418.032990	-27.328001	914.939026	14.332500	-2.340625	0.039375
-604.632019	52.643002	1013.759033	23.988125	-6.965000	9.703750
-500.932007	119.499001	927.627014	10.486875	-30.432501	11.703125
-489.097992	53.313999	1104.161011	0.376250	-49.896873	9.747500
-432.123993	117.120003	1098.671021	5.936875	-43.986252	-2.108750
-445.666016	54.534000	1123.192993	7.743750	-37.585625	-5.070625
-514.656982	166.225006	1301.801025	-7.411250	-44.808750	-23.270624
-532.773987	30.439001	1377.135986	-15.023750	-42.323750	-32.099377
-579.255981	-15.128000	1472.784058	-11.882500	-35.910000	-28.336876
-509.411011	-106.750000	1280.451050	4.935000	-3.255000	-17.189375
-580.781006	26.169001	1259.467041	5.250000	12.376875	-1.010625
-516.121033	36.844002	1042.612061	5.250000	12.376875	-1.010625
-516.121033	36.844002	1042.612061	8.290625	17.920000	21.122499
-530.455994	86.558998	967.093994	4.878125	6.444375	21.446251
-430.110992	71.003998	991.067017	2.450000	2.196250	12.775000
-402.966003	59.230999	977.098022	3.329375	11.134375	9.541875
-370.026001	48.129002	977.952026	2.463125	12.923750	4.808125
-375.760010	70.820999	944.890015	3.758125	12.333125	-0.721875
-370.575012	44.834999	921.039001	-1.732500	10.491250	-6.212500
-361.425018	22.509001	906.704041	-1.211875	14.017500	-5.827500
-372.893005	56.791000	887.549988	1.172500	9.086875	-4.585000
-355.873993	35.441002	923.479004	1.754375	6.768125	-3.972500
-369.782013	52.459999	925.247986	1.150625	2.253125	-1.491875
-378.871002	61.061001	894.015991	-0.853125	0.616875	0.997500
-316.894989	-36.295002	966.789001	-0.249375	-1.793750	1.098125
-309.209015	-55.998001	940.315002	-0.183750	-1.859375	-0.126875
-309.148010	-17.629000	948.976990	-0.511875	-2.467500	0.201250
-274.561005	-41.053001	927.382996	-0.323750	-1.828750	-0.078750
-265.289001	0.000000	913.414001	-1.356250	-3.141250	-1.977500
-255.773010	-16.958000	868.762024	-2.301250	-1.400000	-0.520625
-187.697006	-80.641998	753.166992	3.132500	5.621875	0.297500
-174.216003	-27.877001	573.583008	8.946875	15.960000	-8.163750
-180.255005	-18.361000	407.053009	5.862500	15.500625	-4.838750
-253.576996	60.024002	431.209015	1.338750	4.987500	5.853750
-221.186005	-20.374001	436.576996	-9.305625	2.953125	-0.144375
-274.804993	15.189000	677.039001	-19.048750	-5.315625	-10.574375
-183.488007	33.123001	743.285034	-27.365625	-10.613750	-20.076876
-197.029999	-145.119003	907.009033	-11.825625	-1.636250	-4.016250
-207.339005	-5.734000	978.867004	18.480000	12.521250	9.349375
-372.527008	-83.570000	1079.516968	29.058750	11.856250	25.694374
-427.304993	139.507004	1016.015991	18.567499	-21.070000	24.342501
-384.300018	-27.145000	1100.013062	4.913125	-52.749374	7.949375
-264.252014	22.509001	1122.094971	15.277500	-63.813751	-7.555625
-177.326996	0.915000	1221.159058	5.726875	-52.788750	-12.468750
-130.906006	-63.806000	1350.113037	15.544375	-35.997501	-21.153126
-152.195007	77.714005	1313.756958	4.348750	-16.695000	-30.804375
-363.864990	-108.335999	1524.817017	-11.510625	-22.741249	-13.781250
-219.417007	-205.570007	1388.909058	-1.850625	-29.496250	-5.757500
-330.010010	-95.403999	1279.291992	-1.850625	-29.496250	-5.757500
-330.010010	-95.403999	1279.291992	4.554375	-25.331249	2.677500
-254.492004	-42.761002	1224.087036	9.922500	-17.618126	4.567500
-244.182999	-7.381000	1154.791016	10.386250	-7.288750	1.933750
-161.589005	46.055000	1176.263062	-0.144375	3.972500	-3.329375
-170.983002	15.006001	1063.839966	-6.986875	17.526251	-1.111250
-210.876999	-13.908000	1016.138000	-11.068750	17.644375	0.017500
-161.589005	-64.171997	992.286987	-7.380625	15.085000	2.940000
-167.078995	-55.815002	992.835999	-1.273125	8.986250	5.250000
-154.085999	-31.537001	987.041016	2.712500	7.096250	8.754375
-133.285004	-19.642000	978.501038	2.782500	5.678750	10.675000
-151.158005	2.379000	957.151001	0.949375	4.685625	7.984375
-156.404007	5.307000	954.772034	-1.960000	2.406250	3.329375
-148.046997	-6.405000	982.466003	-3.211250	1.190000	0.988750
-180.072006	3.721000	972.767029	-1.785000	-1.330000	-1.439375
-257.420013	-18.422001	663.130981	-1.133125	8.404375	-11.436250
-291.946014	-80.886002	518.134033	4.016250	17.211250	-3.333750
-305.122009	-7.320000	528.747986	19.350624	2.786875	-0.905625
-305.610016	-52.948002	575.840027	21.209999	-13.772500	-2.016875
-256.809998	54.778000	635.132019	13.553750	-23.607500	-1.968750
-274.988007	-10.492001	765.122986	-2.769375	-32.025002	-1.719375
-139.324005	-33.855000	747.981995	-19.490625	-16.695000	-11.475625
-121.634003	-39.955002	724.497009	-30.646875	20.991249	-5.691875
-238.693008	-157.563004	904.080994	-23.896250	42.441875	5.551875
-355.934998	-75.701004	864.065002	0.717500	34.050625	3.303125
-533.932983	-35.075001	973.682007	2.143750	4.764375	13.523125
-496.479004	-66.368004	1059.753052	14.980000	-39.536877	21.910000
-408.578003	-137.677002	1207.129028	9.292500	-61.433750	3.128125
-371.429016	-59.170002	1161.317993	9.292500	-61.433750	3.128125
-371.429016	-59.170002	1181.386963	10.504375	-45.832500	-4.243750
-441.457001	-35.196999	1181.386963	7.476875	-29.325624	-19.368126
-400.830994	-127.734001	1259.161987	6.011250	-33.621876	-30.839375
-408.273010	-122.427002	1323.700073	4.659375	-42.174999	-30.611876
-299.631989	-220.210007	1388.909058	18.497499	-22.225000	-26.149376
-401.684998	-48.434002	1277.950073	19.114374	-12.547500	-14.205625
-314.699005	-129.076004	1215.973999	20.536249	-9.646875	-6.908125
-297.679993	-37.332001	1129.049072	20.177500	-6.225625	-1.071875
-310.062988	19.520000	1054.750977	10.876250	-5.595625	9.891875
-273.950989	-36.173000	1032.669067	8.093750	-5.796875	20.291250
-285.785004	30.805000	1026.935059	-0.192500	-12.083750	19.044374
-218.684998	-30.988001	1077.687012	-5.127500	-6.286875	11.519375
-236.070007	-41.418999	1021.567017	-5.648125	4.112500	4.060000
-201.848999	-33.977001	1018.700012	-3.561250	2.870000	0.446250
-207.826996	-13.115000	1001.497986	1.028125	9.336250	0.551250
-230.641006	-18.849001	987.346008	1.588125	10.158750	1.141875
-208.436996	-5.368000	963.372986	0.586250	6.448750	1.863750
-213.012009	-10.492001	973.804016	-0.630000	2.686250	1.614375
-209.413010	-33.367001	987.101990	-0.516250	1.579375	2.257500
-231.494995	-2.318000	980.941040	0.783125	0.634375	0.420000
-229.298996	-28.731001	994.666016	0.021875	3.268125	-0.450625
-265.106018	-3.721000	973.255005	1.706250	3.753750	-0.840000
-217.404007	-21.350000	1005.645996	1.146250	1.855000	0.958125
-258.822998	-11.041000	964.104980	1.299375	3.298750	1.505000
-379.420013	56.242001	922.259033	-0.485625	-4.497500	-0.227500
-363.682007	16.042999	917.806030	-1.093750	-2.760625	0.345625
-367.097992	27.572001	900.238037	0.306250	-5.836250	-2.926875
-350.994019	24.766001	891.637024	-1.058750	-6.076875	-5.118750
-325.252014	29.585001	837.346985	-1.736875	-3.815000	-8.067500
-218.746002	40.748001	725.656006	-1.211875	-0.630000	-11.466875
-254.003998	16.287001	579.561035	1.588125	11.436250	-9.104375
-194.102005	32.208000	393.938019	9.463125	20.260626	-4.711875
-256.321991	43.431999	427.000000	3.495625	5.932500	3.941875
-249.794998	41.358002	448.411011	0.363125	-10.880625	6.825000
-219.477997	-24.278000	578.096985	0.363125	-10.880625	6.825000
-219.477997	-24.278000	724.130981	5.713750	-20.890625	2.983750
-278.587006	-10.614000	724.130981	-15.981875	-44.305626	2.795625
-115.229004	-18.117001	895.846008	2.406250	-16.861250	3.902500
-152.195007	-70.577003	963.861023	15.531250	-0.105000	17.766874
-463.722015	98.087997	1109.651001	3.565625	-6.076875	35.083126
-417.606018	-30.256001	1008.879028	10.517500	-35.214375	10.906875
-337.269012	9.943000	1129.232056	-8.347500	-99.474373	-1.273125
-91.012001	19.337000	1207.677979	-2.353750	-77.980003	-9.817500
-136.029999	43.005001	1309.364990	-4.375000	-71.404373	-11.086250
-79.178001	105.652000	1461.193970	-18.278749	-67.637497	-5.250000
-136.701004	-18.666000	1433.072998	-2.419375	-36.343124	-5.026875
-203.130005	115.534004	1398.973999	7.083125	-45.648750	5.035625
-134.992996	119.133003	1320.894043	-11.038125	-18.182501	-5.381250
-122.975998	7.198000	1266.786987	-14.848750	-0.818125	-22.881250
-96.868004	28.731001	1278.926025	-6.969375	-4.239375	-28.966875
-29.463001	-50.996002	1146.250977	-2.305625	5.114375	-23.038750
-79.543999	-7.930000	1125.023071	-0.555625	9.791250	-11.283125
-20.740000	1.647000	1043.953979	-3.080000	8.426250	1.955625
-47.275002	-23.485001	983.929993	-3.263750	6.741875	12.499375
-32.939999	-29.219000	1013.088013	-3.430000	-0.205625	12.945625
-34.526001	-46.970001	1007.781006	0.634375	4.808125	12.368125
-64.660004	-11.041000	1007.231995	2.900625	-0.389375	9.616250
-43.249001	-39.223000	1013.759033	1.338750	-2.541875	4.799375
-61.366001	-10.004000	1012.600037	-0.984375	-1.955625	-1.487500
-27.023001	-52.643002	1029.680054	-3.731875	1.063125	-3.255000
-62.220001	-41.480000	1006.561035	-5.398750	1.163750	-3.360000
-31.598000	-49.471001	1022.359985	-4.773125	-1.443750	-0.997500
-360.815002	49.288002	897.127014	-0.507500	-3.631250	1.478750
-329.522003	67.161003	876.020996	-0.555625	-1.833125	-0.910000
-308.476990	74.969002	840.213989	-1.596875	-2.366875	0.546875
-266.204010	77.348000	776.530029	-1.929375	2.808750	-2.292500
-247.721008	57.827999	697.840027	-1.443750	2.323125	-4.007500
-216.428009	26.474001	658.251038	0.376250	-3.386250	-2.695000
-110.898003	36.783001	529.236023	2.415000	9.327500	-6.409375
-207.522003	120.474998	432.977997	-7.161875	3.460625	-4.970000
-145.302002	29.158001	481.899994	-7.161875	3.460625	-0.774375
-145.302002	29.158001	498.492004	-20.125000	-9.170000	-0.774375
-225.944000	53.131001	498.492004	-30.056250	-1.968750	1.408750
-220.027008	45.688999	688.751038	-50.159374	-20.593124	1.334375
-214.415009	-88.633003	858.635986	-34.037498	-20.965000	6.243125
-277.794006	-75.884003	1113.432983	-16.104376	-38.062500	3.220000
-331.046997	-3.294000	1162.354980	21.796249	-71.338753	12.639375
-239.363998	-16.958000	1202.249023	24.696875	-70.389374	15.185625
-196.175995	29.280001	1194.441040	33.840626	-43.194374	13.488125
-298.595001	202.824997	1191.452026	29.426250	-42.949375	10.710000
-113.338005	-4.697000	1282.098022	15.631875	-39.466873	-4.663750
-155.001007	148.962006	1412.577026	1.150625	-35.525002	-16.261875
-173.727997	42.334000	1431.487061	-6.921250	-25.383751	-19.573750
-240.949997	14.945000	1427.034058	2.839375	-16.432501	-13.601875
-159.637009	87.718002	1289.174072	-12.061875	-18.357500	-15.907500
-157.257996	-28.609001	1225.855957	-11.353125	-16.292500	-8.911875
-125.293999	-24.948999	1181.447998	-8.964375	-14.253750	-0.756875
-100.100998	-32.757000	1102.635986	-5.993750	-5.875625	6.326250
-105.042000	-25.193001	1086.654053	-3.539375	-3.591875	7.367500
-67.404999	-25.742001	1093.912964	-8.666875	-1.251250	1.990625
-90.219002	-40.748001	1039.867065	-6.072500	5.691875	0.262500
-52.887001	-7.015000	1046.211060	-5.696250	6.978125	-4.921875
-66.124001	7.564000	1010.038025	-4.173750	9.830625	-3.666250
-47.640999	5.490000	1033.645020	-1.806875	6.986875	-0.227500
-72.651001	12.017000	1002.840027	-1.723750	7.525000	2.625000
-57.584000	-4.392000	1008.268982	-1.430625	5.503750	2.909375
-64.965004	-4.148000	1007.231995	-0.774375	4.825625	3.014375
-68.685997	-2.196000	996.434998	-0.542500	4.602500	2.786875
-80.703003	-12.261000	995.520020	0.503125	3.373125	2.668750
-82.228004	2.684000	1004.487000	-0.857500	1.802500	0.634375
-238.693008	21.410999	940.254028	2.498125	-2.931250	2.848125
-230.275009	21.228001	910.486023	2.581250	-2.524375	0.485625
-227.225006	36.478001	834.846008	2.581250	2.314375	-1.732500
-227.225006	28.487000	823.927002	2.288125	2.314375	-1.732500
-226.188004	28.487000	823.927002	0.822500	-6.090000	-2.178750
-164.699997	0.061000	767.807007	2.555000	-3.215625	-1.684375
-111.203003	27.938000	644.403992	8.872500	9.143750	-0.590625
-111.264000	16.531000	520.940002	12.748750	4.147500	1.833125
-143.960007	57.522999	468.662994	13.418125	-3.202500	0.533750
-182.572998	60.207001	517.707031	3.150000	-15.916250	1.548750
-150.792007	66.063004	564.859985	-9.301250	-32.003124	8.395625
-115.595001	26.169001	754.387024	-14.520625	-33.420624	7.603750
-83.082001	-25.681000	868.700989	-20.864374	-36.601250	-5.915000
-73.749001	-72.590004	978.806030	-8.951250	-20.055000	-7.048125
-101.931000	56.547001	1163.270020	-9.681875	-5.503750	-5.411875
-168.848007	-179.218002	1363.716064	-7.568750	2.848125	-5.285000
-63.684002	-26.962000	1093.546997	30.038750	10.981250	5.429375
-279.257996	-87.840004	1470.039062	29.662500	-30.209375	20.606251
-35.014000	105.834999	1315.404053	33.626251	-60.698750	30.183125
-176.046005	81.434998	1305.338989	-1.067500	-66.294373	13.173125
32.269001	-64.476997	1399.339966	-16.585625	-60.786251	-11.611250
-98.149002	2.257000	1381.161987	-11.821250	-28.253750	-24.294374
-67.222000	-78.445999	1326.567017	4.506250	-17.985624	-21.209999
-97.112000	77.958000	1278.682007	8.448125	-21.000000	-13.094375
-69.784004	57.035000	1175.652954	-2.419375	-13.676250	-1.785000
-61.427002	16.409000	1162.537964	-12.110000	-11.182500	3.766875
-6.039000	-19.764000	1156.743042	-14.105000	-6.956250	5.538750
4.758000	-10.431000	1099.281006	-9.065000	-0.253750	7.831250
24.095001	-7.747000	1060.973022	-6.356875	1.645000	12.512500
34.647999	-35.990002	1017.906982	-1.058750	5.250000	14.743750
25.681000	-11.041000	1010.708984	-1.159375	5.516875	14.096250
48.373001	-40.015999	1006.744019	0.105000	2.423750	14.691250
46.726002	-42.334000	1024.190063	3.023125	6.028750	10.745000
33.793999	-36.660999	983.869019	1.806875	3.784375	9.769375
32.452000	-41.358002	996.739990	0.590625	2.506875	6.195000
25.681000	-33.000999	997.593994	-0.371875	1.400000	3.290000
26.718000	-23.607000	998.204041	-0.201250	0.398125	3.259375
17.750999	-21.960001	997.716003	0.586250	1.658125	3.889375
-238.632004	-13.481000	1000.156006	3.596250	-2.366875	1.067500
-221.307999	-24.705000	983.564026	2.231250	0.726250	2.336250
-239.608002	10.675000	964.653992	3.395000	3.430000	-0.284375
-234.301010	-9.394000	960.994019	2.362500	-0.958125	0.424375
-229.421005	16.409000	955.442993	0.546875	-0.223125	-0.113750
-203.679001	-0.976000	906.825989	-0.581875	0.971250	-0.319375
-196.602997	8.479000	833.687012	0.122500	2.791250	-1.968750
-130.845001	-16.042999	713.151001	0.520625	3.836875	-6.011250
-140.604996	35.806999	584.502014	4.506250	4.698750	-3.771250
-107.725998	16.836000	494.893005	7.551250	2.095625	2.318750
-224.906998	31.720001	491.050018	4.466875	-8.570625	7.428750
-157.684998	36.173000	592.005005	1.706250	-26.661249	10.495625
-145.546005	44.834999	634.400024	-5.818750	-37.336250	7.507500
-63.867001	26.474001	817.888000	-15.435000	-32.370625	7.144375
-129.076004	61.792999	896.700012	-21.205626	-24.552500	-8.841875
-31.293001	-94.916000	1054.629028	-24.920000	-21.389376	-9.288125
-161.345001	32.757000	1026.385986	-7.236250	-17.771250	-2.016875
-130.540009	-42.151001	1171.993042	-2.095625	-24.071251	11.563125
-102.723999	-126.819000	1166.747070	16.082500	-45.080002	16.406250
-121.512001	37.393002	1203.713013	22.715000	-41.947498	12.718125
40.931000	-98.881004	1235.738037	15.732500	-26.608749	-8.872500
1.403000	43.126999	1281.609985	-0.310625	-21.555626	-13.860000
55.083000	-47.702000	1274.594971	-20.186251	-15.955625	-22.815624
21.837999	-34.403999	1241.593994	-27.291250	-6.571250	-23.699375
-19.459000	-87.656998	1319.063965	-29.785000	0.971250	-27.129375
51.300999	-145.485001	1234.091064	-19.814375	13.956250	-24.587500
-236.130997	-158.173004	1301.678955	-19.950001	-0.551250	0.144375
-85.643997	-192.882004	1138.198975	-7.700000	-14.818125	7.463750
-109.128998	-134.078003	1147.104980	-0.218750	-19.735624	4.248125
-48.922001	-152.865997	1115.690063	10.049375	-14.350000	7.061250
-84.180000	-69.235001	1040.660034	8.680000	-3.955000	6.352500
-34.465000	-131.028000	1082.018066	-0.783125	-3.968125	3.723125
-21.837999	-130.173996	1059.875000	-4.064375	6.685000	1.710625
-40.260002	-125.965004	1011.624023	-0.363125	7.406875	3.110625
4.392000	-59.841000	1038.952026	0.385000	4.081875	0.700000
-15.738000	-57.340000	1002.596008	0.170625	8.802500	3.237500
-6.283000	-62.952000	1001.254028	-2.253125	5.508125	1.382500
12.383000	-76.006004	996.374023	-4.873750	4.283125	1.876875
3.965000	-91.500000	991.616028	-2.095625	3.775625	3.316250
-97.294998	-24.948999	983.686035	0.026250	-1.500625	0.980000
-71.248001	-55.388000	925.187012	1.019375	0.848750	-2.660000
-83.631004	-32.390999	843.630005	-1.308125	0.840000	-2.091250
-50.751999	-39.955002	696.070984	-4.099375	3.495625	-3.263750
-112.849998	-55.388000	633.789978	3.325000	5.096875	-9.183125
-130.417999	-10.736000	670.207031	7.739375	-13.518750	-0.875000
-32.513000	-54.839001	629.825012	8.933750	-17.709999	6.768125
-44.469002	-7.442000	645.380005	-3.491250	-13.562500	12.884375
26.047001	-26.718000	771.283997	-15.754375	-10.101875	21.179375
-7.564000	53.618999	771.528015	-27.531876	-0.358750	12.735625
6.832000	-149.449997	892.552002	-44.314377	-6.190625	15.365000
-81.679001	15.616000	974.963013	-38.968124	-6.873125	4.865000
-10.065001	-232.288010	969.533997	-37.546249	-4.007500	-0.008750
-30.743999	-281.209991	1017.968018	4.830000	-11.760000	18.003124
-90.646004	-140.787994	1043.039062	21.700001	-1.413125	26.149376
-24.827000	-380.457001	1176.263062	38.263748	-10.885000	37.183125
-109.861000	-43.920002	1223.537964	23.874374	-39.615623	24.740625
-5.612000	-207.460999	1166.380981	5.661250	-41.238750	4.414375
70.150002	-96.989998	1103.855957	0.043750	-35.918751	-2.979375
13.237000	-133.468002	1251.536987	-19.048750	-26.376875	-3.981250
147.070999	-215.695999	1062.619995	-27.938749	-15.811250	-6.816250
1.769000	-163.296997	1266.115967	-10.338125	-14.866250	8.754375
25.681000	-185.867004	1227.503052	-7.415625	-17.084375	-0.844375
-22.691999	-214.354004	1329.250977	-3.605000	-23.065001	-2.616250
43.859001	-184.585999	1305.338989	-12.105625	-19.114374	-6.313125
32.146999	-250.100006	1200.906982	-1.911875	-1.881250	-6.286875
51.423000	-152.317001	1185.839966	8.710625	13.081250	-8.299375
36.966000	-114.375000	1072.989990	7.507500	27.343750	-10.198125
-2.745000	-141.093002	1076.100952	2.791250	25.051250	-3.110625
15.372000	-152.682999	990.822998	1.439375	15.176875	-1.841875
49.715000	-170.434006	1014.613037	1.723750	6.151250	1.295000
41.541000	-171.410004	1038.402954	3.775625	6.295625	5.215000
11.956000	-183.671005	975.512024	6.330625	8.181250	8.491875
19.093000	-178.791000	974.291992	7.748125	4.558750	6.549375
14.030000	-130.173996	985.882019	6.606250	1.750000	3.023125
37.027000	-179.706009	1006.195007	2.069375	-0.634375	1.697500
10.431000	-152.744003	987.712036	4.261250	3.587500	4.046875
6.100000	-164.029007	997.166992	4.270000	2.485000	4.961250
-9.882000	-152.500000	976.122009	6.737500	3.351250	4.466875
